hour_of_year,temperature,heat_runtime,aux_runtime,emg_runtime
1,67.5486674375,0,0,0
2,67.1639920407125,0,0,0
3,66.7666638274613,0,0,0
4,66.4636906090967,0,0,0
5,66.2104628091603,0,0,0
6,66.1182892755428,0,0,0
7,66.2016462765006,0,0,0
8,66.3872614961686,0,0,0
9,66.6793219265645,0,0,0
10,66.999014154262,0,0,0
11,67.4040506015326,0,0,0
12,67.7134179381411,0,0,0
13,67.9318778358974,0,0,0
14,68.094691651923,0,0,0
15,68.3610548637821,0,0,0
16,68.4600148958334,0,0,0
17,68.5268257003205,0,0,0
18,68.6472810320513,0,0,0
19,68.8434769439102,0,0,0
20,68.9506914326948,0,0,0
21,68.9360190749158,0,0,0
22,68.8653384435898,0,0,0
23,68.5384684199519,0,0,0
24,68.0621504346154,0,0,0
25,67.5578728199359,0,0,0
26,67.0420548569604,0,0,0
27,66.612457100894,0,0,0
28,66.1750249449918,0,0,0
29,65.8948908806611,0,0,0
30,65.8162745595432,0,0,0
31,66.0848492404215,0,0,0
32,66.5320321272719,0,0,0
33,66.8771561532567,0,0,0
34,67.203384105364,0,0,0
35,67.5745930054278,0,0,0
36,67.7972762105829,0,0,0
37,67.9272963083334,0,0,0
38,68.0884032246795,0,0,0
39,68.2279548708334,0,0,0
40,68.3438158810898,0,0,0
41,68.4685577810897,0,0,0
42,68.6072085494892,0,0,0
43,68.7517885814176,0,0,0
44,68.9547384704198,0,0,0
45,69.1273154456106,0,0,0
46,69.1313968256997,0,0,0
47,68.8533673396947,0,0,0
48,68.3585059548346,0,0,0
49,67.7007965295802,0,0,0
50,67.195116236859,0,0,0
51,66.6974375509616,0,0,0
52,66.2880943939103,0,0,0
53,66.0119933037323,0,0,0
54,65.9788463748398,0,0,0
55,66.2178396790607,0,0,0
56,66.5665266519796,0,0,0
57,66.9674380776082,0,0,0
58,67.3110156832061,0,0,0
59,67.5660965096577,0,0,0
60,67.6254526361324,0,0,0
61,67.7364708813613,0,0,0
62,67.9485257868957,0,0,0
63,68.0168310628991,0,0,0
64,68.1616605545977,0,0,0
65,68.2065241060026,0,0,0
66,68.4281360204342,0,0,0
67,68.6641377131044,0,0,0
68,68.9156291246819,0,0,0
69,69.0098266698473,0,0,0
70,68.9357166195929,0,0,0
71,68.6801482312341,0,0,0
72,68.2190011688931,0,0,0
73,67.7175010357599,0,0,0
74,67.1586044892671,0,0,0
75,66.6745462541507,0,0,0
76,66.3100838901661,0,0,0
77,66.0374520453384,0,0,0
78,66.0123188733975,0,0,0
79,66.3001224919872,0,0,0
80,66.7658837733975,0,0,0
81,67.1248106538461,0,0,0
82,67.3751938444656,0,0,0
83,67.6389058136133,0,0,0
84,67.7286316908397,0,0,0
85,67.8071384080789,0,0,0
86,67.8544800547074,0,0,0
87,67.8540551594572,0,0,0
88,67.929312676923,0,0,0
89,68.1326336333333,0,0,0
90,68.5302386121795,0,0,0
91,68.8736221676282,0,0,0
92,69.0635062709924,0,0,0
93,69.1545285251273,0,0,0
94,69.0545174246488,0,0,0
95,68.831303230843,0,0,0
96,68.4059880814176,0,0,0
97,67.9100773221584,0,0,0
98,67.4305005494592,0,0,0
99,67.0349739500636,0,0,0
100,66.7266656943384,0,0,0
101,66.495119571883,0,0,0
102,66.4587145429389,0,0,0
103,66.7155232879949,0,0,0
104,67.1516668060898,0,0,0
105,67.5424347125,0,0,0
106,67.724135123718,0,0,0
107,67.9051233671171,0,0,0
108,68.0552335016026,0,0,0
109,68.1280869166667,0,0,0
110,68.1915428961539,0,0,0
111,68.2374721307692,0,0,0
112,68.3350012563276,0,0,0
113,68.4401916433299,0,0,0
114,68.6491632988506,0,0,0
115,68.9066785724777,0,0,0
116,69.1249645890805,0,0,0
117,69.2423337844828,0,0,0
118,69.2291114784004,0,0,0
119,68.9835007442748,0,0,0
120,68.6014696622137,0,0,0
121,68.1638881784351,0,0,0
122,67.761354423346,0,0,0
123,67.3819371316794,0,0,0
124,67.0963705171756,0,0,0
125,66.8322350451655,0,0,0
126,66.6490328918575,0,0,0
127,66.8700988081099,0,0,0
128,67.1471962158365,0,0,0
129,67.4610959083333,0,0,0
130,67.7223396977565,0,0,0
131,68.0022404924968,0,0,0
132,68.2723053426282,0,0,0
133,68.456417905609,0,0,0
134,68.629618774359,0,0,0
135,68.671099041507,0,0,0
136,68.7106966246819,0,0,0
137,68.8220754176172,0,0,0
138,68.9492986020279,0,0,0
139,69.0203331142606,0,0,0
140,69.1299379223919,0,0,0
141,69.1970008966285,0,0,0
142,69.1750163298346,0,0,0
143,68.9932801956107,0,0,0
144,68.5667939853689,0,0,0
145,68.0271269434865,0,0,0
146,67.5640156210089,0,0,0
147,67.1753296226053,0,0,0
148,66.7739773786578,0,0,0
149,66.5305964304707,0,0,0
150,66.3417535604326,0,0,0
151,66.3983470407125,0,0,0
152,66.7223294322519,0,0,0
153,67.1469318485424,0,0,0
154,67.6629848025982,0,0,0
155,68.0165323091603,0,0,0
156,68.2813268508269,0,0,0
157,68.4425838263318,0,0,0
158,68.6710750357692,0,0,0
159,68.8125619840585,0,0,0
160,68.9407693339744,0,0,0
161,69.0312566982759,0,0,0
162,69.1781393405058,0,0,0
163,69.3087405722433,0,0,0
164,69.3172996775425,0,0,0
165,69.3446939106692,0,0,0
166,69.230058523043,0,0,0
167,69.0251146998106,0,0,0
168,68.6122296381428,0,0,0
169,68.2013316240458,0,0,0
170,67.7133481459924,0,0,0
171,67.3053643291984,0,0,0
172,66.9361650343512,0,0,0
173,66.6190095569339,0,0,0
174,66.4825650190114,0,0,0
175,66.6979360111323,0,0,0
176,67.0517395516477,0,0,0
177,67.3240925636882,0,0,0
178,67.6198574378961,0,0,0
179,67.8741450530303,0,0,0
180,68.087271864899,0,0,0
181,68.2125676893939,0,0,0
182,68.3258542831087,0,0,0
183,68.3855789383648,0,0,0
184,68.4346658368973,0,0,0
185,68.5507213671086,0,0,0
186,68.7064734965278,0,0,0
187,68.9178711657196,0,0,0
188,69.1327174371844,0,0,0
189,69.255847126109,0,0,0
190,69.237191517744,0,0,0
191,69.0326839775032,0,0,0
192,68.6956472905577,0,0,0
193,68.3187631670349,0,0,0
194,67.901731033414,0,0,0
195,67.4501539409323,0,0,0
196,67.0934969399744,0,0,0
197,66.8177948607918,0,0,0
198,66.7104980590013,0,0,0
199,66.8815260937067,0,0,0
200,67.306582350351,0,0,0
201,67.5948056581439,0,0,0
202,67.7822958972232,0,0,0
203,67.9364787354246,0,0,0
204,67.9962703253817,0,0,0
205,68.1167889793258,0,0,0
206,68.1600215363985,0,0,0
207,68.2043782190195,0,0,0
208,68.2937611039291,0,0,0
209,68.4363615560836,0,0,0
210,68.6079059876426,0,0,0
211,68.9381765842876,0,0,0
212,69.1467172474651,0,0,0
213,69.1658666420454,0,0,0
214,69.1635648142361,0,0,0
215,68.9316065405307,0,0,0
216,68.501979389313,0,0,0
217,68.0234227321883,0,0,0
218,67.5905830493002,0,0,0
219,67.0920865060432,0,0,0
220,66.7275840009818,0,0,0
221,66.3906961257829,0,0,0
222,66.2135646816157,0,0,0
223,66.3703252037389,0,0,0
224,66.7981883561658,0,0,0
225,67.1958164188189,0,0,0
226,67.473407508872,0,0,0
227,67.670319190431,0,0,0
228,67.7467114363118,0,0,0
229,67.8723543794075,0,0,0
230,67.9563057439336,0,0,0
231,68.0176106469465,0,0,0
232,68.0818238368321,0,0,0
233,68.136594179341,0,0,0
234,68.3115535893536,0,0,0
235,68.6521153358682,0,0,0
236,68.8708385193283,0,0,0
237,68.9079049217364,0,0,0
238,68.9001932997465,0,0,0
239,68.690901918251,0,0,0
240,68.356755867816,0,0,0
