hour_of_year,temperature,day_of_year
1,66.9500491388889,1
2,66.48460554166668,1
3,66.09810284909189,1
4,65.69868684722222,1
5,65.46076021527777,1
6,65.32101129861111,1
7,65.63495992013888,1
8,66.1769321875,1
9,66.87651323611111,1
10,67.40103359375,1
11,67.94000821527777,1
12,68.21019372569442,1
13,68.29055127430557,1
14,68.33637210416666,1
15,68.4090235138889,1
16,68.65822487499999,1
17,68.93743365625001,1
18,69.22374080902777,1
19,69.48000077777779,1
20,69.48807363888888,1
21,69.31512976736111,1
22,69.23701238194444,1
23,68.63551656944445,1
24,67.8212450833333,1
25,67.18739788541666,2
26,66.65229646875001,2
27,66.15313006249998,2
28,65.70313831597223,2
29,65.44710992922009,2
30,65.51563681597221,2
31,66.27939905902777,2
32,66.75518475560898,2
33,67.17647983333332,2
34,67.33262098611112,2
35,67.60773688194443,2
36,67.64915465277778,2
37,68.03407009375,2
38,68.25819351736111,2
39,68.42944656944447,2
40,68.62403921180557,2
41,68.62868221180557,2
42,68.71848790624999,2
43,68.67002754166667,2
44,68.82689092361112,2
45,68.90804338541665,2
46,68.99528531597221,2
47,68.45709077083333,2
48,67.70428675000001,2
49,67.02182337847223,3
50,66.7497202173913,3
51,66.3278399347826,3
52,65.93765715942028,3
53,65.71579630072463,3
54,65.601366015625,3
55,66.04856803819445,3
56,66.43735338888888,3
57,67.17017920138889,3
58,67.53920709722222,3
59,67.67102189236111,3
60,67.93047327777778,3
61,68.0263892986111,3
62,68.19909351041666,3
63,68.27325133680556,3
64,68.5534707326389,3
65,68.58253721180556,3
66,68.72976014236112,3
67,68.9265681909722,3
68,69.02966509722224,3
69,69.05263049999998,3
70,68.94124711805556,3
71,68.47757734375,3
72,67.78835013194445,3
73,66.92503294444444,4
74,66.26363271875,4
75,65.80990014930556,4
76,65.45798462847223,4
77,65.22635974305557,4
78,65.38827206250001,4
79,65.89934265277778,4
80,66.73195131597221,4
81,67.17339925347223,4
82,67.23851729513889,4
83,67.88293316319444,4
84,68.25650047916666,4
85,68.33590855555553,4
86,68.34291406597224,4
87,68.28028484027776,4
88,68.34736392708332,4
89,68.56239553125,4
90,68.689771625,4
91,68.91635387500001,4
92,69.13069154166666,4
93,69.05676853125,4
94,69.20366581249998,4
95,68.63482978819445,4
96,67.75515065972219,4
97,67.06382059027779,5
98,66.49711296527778,5
99,66.19062481249999,5
100,65.95544041319445,5
101,65.7341394861111,5
102,65.84182259027779,5
103,66.69842174305556,5
104,67.49335905902778,5
105,67.92452045138889,5
106,67.82713570486112,5
107,67.94449746527778,5
108,68.11263734375002,5
109,68.32816756944443,5
110,68.30870436805554,5
111,68.11916727083333,5
112,68.21043546875,5
113,68.54348878124998,5
114,69.01448976736111,5
115,69.4213529965278,5
116,69.61946969444445,5
117,69.50364361458331,5
118,69.45888453819445,5
119,68.83344059722224,5
120,68.29200550694445,5
121,67.86540314583335,6
122,67.47079255555555,6
123,67.05070940625,6
124,66.75908496875,6
125,66.50670017361112,6
126,66.42876619097223,6
127,66.97052774305558,6
128,67.33276788888888,6
129,67.6674903576389,6
130,68.05419050347221,6
131,68.27322036805555,6
132,68.38529354166666,6
133,68.44442047569444,6
134,68.6993327152778,6
135,68.81013249652777,6
136,68.78485636805556,6
137,68.91169358333333,6
138,69.00523593402777,6
139,69.08876307986111,6
140,69.15875590972222,6
141,68.96927079513887,6
142,68.80851150694443,6
143,68.2971275486111,6
144,67.67766484027776,6
145,66.96537759722223,7
146,66.41222229861113,7
147,66.12379628819444,7
148,65.70321528125,7
149,65.44789440277779,7
150,65.45092316666667,7
151,65.72441399305553,7
152,66.3214261979167,7
153,67.35669639236112,7
154,68.06605230902778,7
155,68.41001139236113,7
156,68.36422200000003,7
157,68.26792139236113,7
158,68.30548635069444,7
159,68.4002031061508,7
160,68.45011126811596,7
161,68.37819033333332,7
162,68.39283549637683,7
163,68.5184781521739,7
164,68.69565002777779,7
165,68.67091401736111,7
166,68.56560601041666,7
167,68.41529898958335,7
168,67.75322467013889,7
169,67.18917058333334,8
170,66.69546918402776,8
171,66.30871256597221,8
172,65.92131731944444,8
173,65.72995976736111,8
174,65.67988105555555,8
175,66.20854788541666,8
176,66.87105689583333,8
177,67.29612707638888,8
178,68.04318874652776,8
179,68.44010760069445,8
180,68.35480608680555,8
181,68.26427656597224,8
182,68.22744527430554,8
183,68.21447076388888,8
184,68.30239971875001,8
185,68.31641448958334,8
186,68.59276053819445,8
187,68.86837703125,8
188,69.23283116319446,8
189,69.28848178124998,8
190,69.38102995486112,8
191,68.8662524375,8
192,68.2272100347222,8
193,67.57055397569445,9
194,67.11659981597221,9
195,66.7111905,9
196,66.39329186458332,9
197,66.27477288194443,9
198,66.25819077083334,9
199,66.60790996447649,9
200,66.9068554105235,9
201,67.3602020138889,9
202,67.80661717234848,9
203,68.18781106884059,9
204,68.15414251811593,9
205,68.32784756521737,9
206,68.28750526811595,9
207,68.31648152536232,9
208,68.43209276736111,9
209,68.5544655625,9
210,68.62918071527778,9
211,69.0546018888889,9
212,69.42572102777778,9
213,69.4192050798611,9
214,69.5230123159722,9
215,69.10056836458332,9
216,68.18038675000003,9
217,67.47049062847222,10
218,66.86575297916666,10
219,66.43437876041668,10
220,66.09573178472222,10
221,65.82713189236112,10
222,65.80761004166668,10
223,66.4765901423611,10
224,67.20339380208334,10
225,67.47294725694444,10
226,67.54089016319445,10
227,67.83523208333334,10
228,67.86657185416666,10
229,68.35979532556934,10
230,68.53995755434781,10
231,68.76113217028986,10
232,68.87689696014495,10
233,68.6087792673611,10
234,68.52591968055555,10
235,68.75299955208334,10
236,69.02457329166667,10
237,69.20324360069445,10
238,69.17597517013888,10
239,68.73738076041666,10
240,67.99184395138889,10
241,67.40940648958335,11
242,66.92719085763889,11
243,66.63834222916667,11
244,66.42970279861112,11
245,66.2005757013889,11
246,66.16871874305555,11
247,66.62837753125001,11
248,67.49037408449074,11
249,68.0492313442029,11
250,68.38696135869564,11
251,68.4958060289855,11
252,68.4410129470457,11
253,68.32506189583331,11
254,68.15118835416665,11
255,68.10338342708334,11
256,68.19746002430556,11
257,68.34661802430556,11
258,68.49419321527778,11
259,69.01480054861109,11
260,69.31514467013888,11
261,69.44577610416667,11
262,69.41893660069444,11
263,68.80296680208333,11
264,67.98960320833334,11
265,67.23507361111113,12
266,66.75330966319444,12
267,66.49169473958334,12
268,66.3074138263889,12
269,66.26089997222222,12
270,66.55018224305554,12
271,67.23588449652777,12
272,67.61606362847222,12
273,67.78847930555555,12
274,68.19847112152777,12
275,68.18232116666665,12
276,68.37916431159421,12
277,68.46684057246375,12
278,68.46875526449276,12
279,68.32873368287036,12
280,68.28045687847222,12
281,68.30902124652779,12
282,68.64202498958333,12
283,69.06008089236111,12
284,69.16284632291668,12
285,69.03879878819443,12
286,69.02715847222223,12
287,68.54956105902778,12
288,67.86317310069445,12
289,67.19009628819445,13
290,66.7205324548611,13
291,66.3045993125,13
292,66.34948904513888,13
293,66.12768656597223,13
294,66.00010275,13
295,66.31311304166667,13
