hour_of_year,temperature_in,day_of_year
1,67.1666318308823,1
2,66.6760620186274,1
3,66.160455397813,1
4,65.7702993318627,1
5,65.4471834107843,1
6,65.2984652352071,1
7,65.3225913816568,1
8,65.5547927840236,1
9,65.8884365389546,1
10,66.2636622764706,1
11,66.7756314773176,1
12,67.0870155009862,1
13,67.3128448880671,1
14,67.5126098634122,1
15,67.7943971617357,1
16,67.8818830966469,1
17,68.0009156232742,1
18,68.1531222470414,1
19,68.4263571523668,1
20,68.5879472922549,1
21,68.5367585277629,1
22,68.534666209566,1
23,68.2041706031805,1
24,67.5967046232742,1
25,66.9810925433925,2
26,66.3861208737673,2
27,65.8433996351085,2
28,65.370529325796,2
29,65.0436621635564,2
30,65.0417830238583,2
31,65.3804398328402,2
32,65.8213461935973,2
33,66.1067273614398,2
34,66.4159602036489,2
35,66.8820469398422,2
36,67.1345512130177,2
37,67.2680385216963,2
38,67.4080524023669,2
39,67.5375290498027,2
40,67.6422598017751,2
41,67.8319879704142,2
42,68.0514770547338,2
43,68.1885213357989,2
44,68.4276279362745,2
45,68.6194020387254,2
46,68.6435945406863,2
47,68.3670520607843,2
48,67.8047611098039,2
49,67.0974015955883,3
50,66.5585748050595,3
51,66.0375510486111,3
52,65.5493787083334,3
53,65.2504056051587,3
54,65.2522181082347,3
55,65.5037703298129,3
56,65.862961347549,3
57,66.1828149926471,3
58,66.5506156681373,3
59,66.8627978800802,3
60,66.9434237995098,3
61,67.029177722549,3
62,67.2430495627451,3
63,67.3323681893491,3
64,67.4941121434912,3
65,67.5531336025641,3
66,67.8025612120316,3
67,68.1000492686274,3
68,68.4202256186274,3
69,68.5560498534314,3
70,68.539176879902,3
71,68.2561164362745,3
72,67.7465959328431,3
73,67.1633270872549,4
74,66.5582061144042,4
75,66.0337554720589,4
76,65.616673197549,4
77,65.3556952504901,4
78,65.3768546277121,4
79,65.6611572411243,4
80,66.1080361454635,4
81,66.4020844778106,4
82,66.6896852955882,4
83,67.0689076240196,4
84,67.1949084754902,4
85,67.2273842112745,4
86,67.2282184308823,4
87,67.2324783480392,4
88,67.3403210335306,4
89,67.5698265636094,4
90,67.9997727071006,4
91,68.3360417820513,4
92,68.5565555700981,4
