hour_of_year,temperature_in,day_of_year
1,67.9758539761905,1
2,67.5098359603175,1
3,67.1432671547619,1
4,66.8192227896825,1
5,66.5642872222222,1
6,66.5731820753968,1
7,67.2263480952381,1
8,68.003076563492,1
9,68.4230643095238,1
10,68.6855970079365,1
11,68.9301306031746,1
12,69.2169600238095,1
13,69.260454031746,1
14,69.4754751111111,1
15,69.7508298571429,1
16,69.7196647380952,1
17,69.5915943968254,1
18,69.5029743611111,1
19,69.6163883134921,1
20,69.6209146904762,1
21,69.4421568253969,1
22,69.2545204444444,1
23,68.8473316944444,1
24,68.280898218254,1
25,67.7328957150794,2
26,67.275804765873,2
27,66.9849568531746,2
28,66.6370336984127,2
29,66.4130737496948,2
30,66.2894111594517,2
31,66.8718149206349,2
32,67.7892637619047,2
33,68.6277753214286,2
34,68.9636911666667,2
35,69.1430983730159,2
36,69.0389340515873,2
37,68.9689650238095,2
38,69.1529156825397,2
39,69.2509939325397,2
40,69.3623745595238,2
41,69.3667295753968,2
42,69.3483924880952,2
43,69.4462172063492,2
44,69.6454382857143,2
45,69.6900772698413,2
46,69.4343321984127,2
47,68.9471213055556,2
48,68.3290387063492,2
49,67.6672280396825,3
50,67.0883549722222,3
51,66.7108832142857,3
52,66.5149382142857,3
53,66.3873456468254,3
54,66.3205918611111,3
55,66.8865921468254,3
56,67.8271430634921,3
57,68.4080313015873,3
58,68.6519429801587,3
59,68.6989917063492,3
60,68.6992545992063,3
61,68.7094175912698,3
62,68.8158573492063,3
63,68.887552718254,3
64,69.0736574087302,3
65,69.1163520238095,3
66,69.1749283690476,3
67,69.2346035833333,3
68,69.3263455238095,3
69,69.3911165674603,3
70,69.1396162896825,3
71,68.7524250595238,3
72,68.2266541507937,3
73,67.6772785912699,4
74,67.0795264484127,4
75,66.6277828571429,4
76,66.3671435198413,4
77,66.1686295714286,4
78,66.2574704523809,4
79,67.0924873769841,4
80,68.2326221547619,4
81,68.6636370555556,4
82,68.7671953452381,4
83,68.9422984603175,4
84,68.9917224920635,4
85,69.0776077579365,4
86,69.0618592976191,4
87,68.9679286904762,4
88,68.8838751269841,4
89,68.900595984127,4
90,69.0270371785714,4
91,69.3290689007936,4
92,69.4837998888889,4
93,69.3991596547619,4
94,69.2277412261905,4
95,68.8605156547619,4
96,68.2517383849206,4
97,67.6940050436508,5
98,67.3742885873016,5
99,66.9989416150794,5
100,66.696550468254,5
101,66.5617823571428,5
102,66.6772049722222,5
103,67.3289700119048,5
104,67.9634241190476,5
105,68.4795043650793,5
106,68.8308511230159,5
107,68.9058401190476,5
108,68.8513091349206,5
109,68.9947761428572,5
110,69.0989821507937,5
111,69.1172359007936,5
112,69.230658063492,5
113,69.2699603174603,5
114,69.4288216031746,5
115,69.8699209563492,5
