hour_of_year,temperature,day_of_year
1,69.55468648333336,1
2,68.88173705,1
3,68.32045599166666,1
4,68.748082625,1
5,68.86570331666667,1
6,69.30320729166667,1
7,69.35125351666666,1
8,69.15762749166666,1
9,69.19919694166667,1
10,69.16213257500002,1
11,68.84939929166667,1
12,68.78601011666667,1
13,69.376268175,1
14,69.70392805833333,1
15,69.55696627500001,1
16,69.17771145833333,1
17,69.004568725,1
18,69.3389349,1
19,69.21175571666666,1
20,69.46649052500001,1
21,69.80440691666666,1
22,69.54868295833333,1
23,69.27046854166666,1
24,69.73042454166668,1
25,69.98685430833333,2
26,69.57711456666667,2
27,69.16514805833332,2
28,68.9297273,2
29,68.43554864102563,2
30,68.01275121666667,2
31,67.635348175,2
32,67.38106610833333,2
33,68.00341794166667,2
34,68.48704488333333,2
35,68.818921925,2
36,68.936670925,2
37,69.30785627499998,2
38,69.90770001666667,2
39,70.17874066666668,2
40,70.24006076666667,2
41,70.02409122499999,2
42,69.711132075,2
43,69.61432431666665,2
44,70.01549981666668,2
45,70.63921669166666,2
46,71.34847866666667,2
47,71.17207869166666,2
48,71.00503545,2
49,70.46935041666667,3
50,69.6930229,3
51,69.29444337500001,3
52,68.70007767500002,3
53,68.35373530833333,3
54,68.29448273333334,3
55,68.303077825,3
56,68.29908683333333,3
57,68.71048570833334,3
58,69.12587195,3
59,68.91665431666667,3
60,68.817490725,3
61,69.29834263333333,3
62,69.3493518,3
63,69.15952550833335,3
64,68.88977340833333,3
65,68.50993563333334,3
66,68.47238486666666,3
67,69.04888636666668,3
68,70.05143766666666,3
69,70.08811285833335,3
70,70.3109542,3
71,70.19507535833334,3
72,70.27553853333333,3
73,70.15405685833333,4
74,69.76566453333334,4
75,69.44618653333333,4
76,68.93517058333333,4
77,68.59642018333332,4
78,68.35283775000002,4
79,68.32732685833335,4
80,68.5165341,4
81,68.69587573333334,4
82,68.77951534166667,4
83,68.35630383333333,4
84,68.29489055,4
85,68.19010119166666,4
86,67.95537991666666,4
87,67.98412723333333,4
88,68.15792159166666,4
89,68.51575753333334,4
90,69.20647279166667,4
91,70.092945675,4
92,70.80041550833333,4
93,70.705126975,4
94,70.1307458,4
95,69.84395849166665,4
96,69.10629255,4
97,68.551481575,5
98,68.14306655833333,5
99,67.72408346666666,5
100,67.17058883333333,5
101,66.69543445000001,5
102,66.71413607500001,5
103,67.04658090833334,5
104,67.218645875,5
105,68.15237420000001,5
106,68.78159646666668,5
107,68.54239270833332,5
108,68.48355050833332,5
109,68.71218980833333,5
110,68.72503375833332,5
111,68.827496475,5
112,68.76748981666667,5
113,68.5595143,5
114,68.35748141666667,5
115,68.611532875,5
116,69.25598979166666,5
117,70.05649948333334,5
118,70.48758204166666,5
119,70.3487819,5
120,70.12497199999999,5
121,69.56034768333335,6
122,69.24352567499999,6
123,69.01520381666667,6
124,68.73770268333332,6
125,68.24388198333334,6
126,68.14985169166667,6
127,68.39239370833333,6
128,68.04369699166666,6
129,67.80387284166666,6
130,67.45289659999999,6
131,67.34621016666667,6
132,67.41257768333332,6
133,68.01667554166667,6
134,68.58798980833333,6
135,68.8383902,6
136,68.77728804166665,6
137,68.86478023333333,6
138,68.78735736666667,6
139,69.12136954999998,6
140,69.91286676666667,6
141,69.88863193333333,6
142,70.0615317,6
143,70.51802599999999,6
144,70.494533225,6
145,70.40111259166667,7
146,70.20765932499998,7
147,70.71440088333334,7
148,70.50840235833333,7
149,69.99687610833332,7
150,69.75512035,7
151,69.89301420000001,7
152,69.81613605,7
153,69.66239683333333,7
154,70.33562134166667,7
155,70.999367275,7
156,71.17483000833334,7
157,70.95970369166666,7
158,70.99687504166667,7
159,70.505093125,7
160,70.17978340833334,7
161,69.97429737499999,7
162,70.00042529999999,7
163,70.18714016666667,7
164,70.35982603333333,7
165,70.5301108,7
166,70.33567708333332,7
167,70.42566318333334,7
168,70.12352189166667,7
169,69.61492693333334,8
170,69.08989408333333,8
171,68.69109461666666,8
172,68.262627925,8
173,67.89268190833334,8
174,67.55680635833332,8
175,67.48338896666668,8
176,67.489018975,8
177,67.546136975,8
178,67.36440825833333,8
179,67.575710875,8
180,67.89843564999998,8
181,68.13910966666666,8
182,68.62534494166667,8
183,68.92021647499999,8
184,68.92523545833333,8
185,69.15071428333333,8
186,69.7518158,8
187,69.866449975,8
188,69.69870694166669,8
189,69.90778980833335,8
190,70.14018265833334,8
191,69.90944806666666,8
192,69.63147661666667,8
193,69.34086538333332,9
194,68.76696412499999,9
195,68.54022173333333,9
196,68.33392184166667,9
197,68.01978526666666,9
198,67.92827703333334,9
199,68.00600176410258,9
200,67.91390525119047,9
201,67.84335344166666,9
202,67.58340965833334,9
203,67.30134585,9
204,67.35101006666666,9
205,67.798090675,9
206,68.23355256481481,9
207,68.71622092592594,9
208,69.00061316666667,9
209,69.1553783425926,9
210,69.26540819444445,9
211,69.69303912037037,9
212,70.1489969351852,9
213,69.83279117592593,9
214,69.89732637962962,9
215,69.62774823148148,9
216,69.5531902037037,9
217,69.30864897222223,10
218,69.12855944444443,10
219,68.8047356574074,10
220,68.61984754629628,10
221,68.24102419444445,10
222,67.8162903425926,10
223,67.88090113888887,10
224,67.68899650925927,10
225,67.58466346296296,10
226,67.6196163888889,10
227,68.18260283333332,10
228,67.95901832407407,10
229,68.14416935185186,10
230,68.17473297222223,10
231,67.88692145370369,10
232,67.9379370648148,10
233,68.22456875000002,10
234,68.50087744444444,10
235,68.89791205555555,10
236,69.47806397222222,10
237,69.2643789537037,10
238,69.19904502777779,10
239,69.03207031481482,10
240,68.95865066666667,10
241,68.4120267962963,11
242,67.88043174074073,11
243,67.43386297222223,11
244,67.05697580555554,11
245,66.77132414814815,11
246,66.43044186111112,11
247,66.51367351851852,11
248,66.89839195370371,11
249,67.43677569444445,11
250,67.89611521296297,11
251,68.08867571296297,11
252,68.34931946296295,11
253,68.51960910185184,11
254,68.72225276851852,11
255,68.84618207407406,11
256,68.78390249074073,11
257,69.13142987962962,11
258,69.11752827777778,11
259,69.24373208333333,11
260,69.47034103703704,11
261,69.5631615648148,11
262,69.52609606481481,11
263,69.82176343518519,11
264,69.47525277777777,11
265,68.81941282407406,12
266,68.41302256481481,12
267,68.0596163148148,12
268,67.75660888888889,12
269,67.33712637037037,12
270,67.16427687962963,12
271,67.35216128703705,12
272,67.38445865740741,12
273,67.64767073148148,12
274,67.53411470370371,12
275,67.49135631481481,12
276,67.47640847222222,12
277,67.70821337037036,12
278,67.86315707407408,12
279,67.81864372222223,12
280,67.7587045925926,12
281,67.68619914814815,12
282,68.01395951851853,12
283,68.40869352777777,12
284,68.87705073148148,12
285,69.33064062037039,12
286,70.38246253703704,12
287,71.25233973148147,12
288,71.25640558333335,12
289,71.02355477777778,13
290,70.46842523148149,13
291,70.19749392592593,13
292,69.73791183333334,13
293,69.08627666666665,13
294,68.61165023148149,13
295,68.39729187962963,13
296,68.1283874537037,13
297,68.3802772962963,13
298,68.94586721296295,13
299,69.21785009259258,13
300,69.44967212962963,13
301,69.58870512962963,13
302,69.43284063888889,13
303,69.58186353703702,13
304,69.48238096296296,13
305,69.4541017037037,13
306,69.35556085185185,13
307,69.2779963148148,13
308,69.75310512037036,13
309,70.26467340740741,13
310,70.58941664814814,13
311,70.24497228703704,13
312,69.88136957407407,13
313,69.63354452777779,14
314,69.32236061111112,14
315,68.98271738888889,14
316,68.48950016666667,14
317,67.89470012037037,14
318,67.71039936111112,14
319,67.88341615740741,14
320,67.58493487962963,14
321,67.37642160185186,14
322,67.82722017592592,14
323,68.50532643518518,14
324,68.98726923148149,14
325,69.10762010185185,14
326,69.28257711111111,14
327,69.26515841666668,14
328,69.21775298148148,14
329,68.72618615740741,14
330,68.40792904629629,14
331,69.11661547222222,14
332,69.59389262962962,14
333,69.80013789814814,14
334,69.55782366666666,14
335,69.65848178703703,14
336,69.20640022222223,14
337,68.99000699074074,15
338,69.13567931481481,15
339,69.44937278703703,15
340,69.60867712962961,15
341,69.09107281481482,15
342,68.90963896296297,15
343,69.03747624074074,15
344,68.55166364814815,15
345,68.04888375925927,15
346,68.21982109259258,15
347,68.72882334259259,15
348,69.17224194444444,15
349,69.43892638888889,15
350,69.67346048148148,15
351,69.89942777777777,15
352,69.75347589814815,15
353,69.94054886111113,15
354,70.02063487962964,15
355,70.0135400648148,15
356,70.48481935185185,15
357,70.33882244444445,15
358,70.32371277777777,15
359,70.21011933333332,15
360,69.65005721296296,15
361,69.3945765277778,16
362,68.97464874358974,16
363,68.32528284259259,16
364,67.78507846296297,16
365,67.25149279629629,16
366,67.04360014814813,16
367,67.22696850925927,16
368,67.06959789814816,16
369,67.21761972222222,16
370,67.61231360185185,16
371,67.8392768425926,16
372,68.08882981481482,16
373,68.42145923148148,16
374,68.40326697222223,16
375,68.6433160925926,16
376,68.89053444444443,16
377,68.9301472962963,16
378,69.22957005555554,16
379,69.24631023148147,16
380,69.41636795370373,16
381,69.32490007407405,16
382,69.44853175925925,16
383,69.60108052777778,16
384,69.5867540925926,16
385,69.43740171296297,17
386,69.44784907407409,17
387,69.10490412962963,17
388,68.84642598148147,17
389,68.67472921296297,17
390,68.34350073148147,17
391,68.12597360185185,17
392,67.86112654629629,17
393,67.84147899999999,17
394,67.72967977777779,17
395,67.73724680555556,17
396,68.10091407407407,17
397,68.62378328703704,17
398,68.46127327777779,17
399,68.54002340740742,17
400,68.70987963888889,17
401,68.48510124074073,17
402,68.12699996296297,17
403,68.51642801851851,17
404,69.51926102777777,17
405,70.16866625925927,17
406,70.06501494444444,17
407,69.83440492592592,17
408,69.87300872222221,17
409,69.80657085185186,18
410,69.31628062962963,18
411,68.73236947222222,18
412,68.25547698148148,18
413,67.89246106481482,18
414,67.51170611111111,18
415,67.49544782407408,18
416,67.39864575925927,18
417,67.06297916666668,18
418,67.14757291666666,18
419,67.49326041666666,18
420,68.02019791666667,18
421,68.78752896296297,18
422,69.30788699074074,18
423,69.67163059259259,18
424,69.78977751851852,18
425,69.70291333333333,18
426,69.48373751851852,18
427,69.13722853703705,18
428,69.31051347222223,18
429,69.72486618518519,18
430,69.44169699074072,18
431,69.71979077777779,18
432,69.31568021296296,18
433,68.8549635462963,19
434,68.36740728703705,19
435,67.91567487037037,19
436,67.46021541666666,19
437,67.07189586111112,19
438,66.8142209537037,19
439,66.73526665740741,19
440,66.6697795462963,19
441,67.06688123148147,19
442,67.57400448148148,19
443,68.38278051666666,19
444,68.78256695,19
445,69.09906201666666,19
446,68.82922471666667,19
447,68.52731961666666,19
448,68.38384901666667,19
449,68.63118918333333,19
450,68.73047324166667,19
451,68.45728859166667,19
452,68.67761713333334,19
453,68.671697875,19
454,68.20067073333334,19
455,67.659637725,19
456,67.51196267499998,19
457,67.18123535000001,20
458,67.06204258333334,20
459,67.04219725833333,20
460,67.21855550000001,20
461,67.11526904999998,20
462,66.75279714166666,20
463,66.72876886666668,20
464,66.82672805000001,20
465,66.87235317500001,20
466,67.06936315833332,20
467,67.18235369166666,20
468,67.52333944166666,20
469,67.76747515833333,20
470,68.01184711666667,20
471,68.27132736666667,20
472,68.83377929999999,20
473,68.96060570833333,20
474,68.71592531666667,20
475,68.59179743333331,20
476,69.18866191666667,20
477,69.67840071666667,20
478,69.743844,20
479,69.62414666666665,20
480,69.37036388333334,20
481,68.97972370833332,21
482,68.44476263333334,21
483,67.976581525,21
484,67.60583611666667,21
485,67.01300206666667,21
486,66.56509794166666,21
487,66.49478611666666,21
488,66.31849156666667,21
489,66.68373392499998,21
490,67.39856809166666,21
491,68.069810075,21
492,68.02278643333334,21
493,68.02879258333333,21
494,68.07603580833333,21
495,68.13279011666665,21
496,68.13211080833334,21
497,68.233190375,21
498,68.23832880833334,21
499,69.0281717,21
500,69.80856271666667,21
501,70.1645789,21
502,70.27563875,21
503,70.34597722500001,21
504,70.07169214166666,21
505,69.49335369999999,22
506,69.04523505833332,22
507,68.96368854166667,22
508,68.56919004166666,22
509,67.96085490833333,22
510,67.72875758333333,22
511,67.72848529999999,22
512,67.62894422500001,22
513,67.68424211666667,22
514,67.94269824999999,22
515,68.495701025,22
516,68.93516923333333,22
517,68.95628934999999,22
518,69.034029575,22
519,69.36703230833334,22
520,69.29840714166667,22
521,69.20865517499999,22
522,69.15828830833333,22
523,69.39673727499999,22
524,69.88855750833332,22
525,70.28044349166666,22
526,70.31335629166666,22
527,70.44988663333332,22
528,70.275091225,22
529,70.16960195000001,23
530,69.88015259166667,23
531,69.73791429166667,23
532,69.70393425,23
533,69.34515782499999,23
534,68.94245198333333,23
535,68.74669184999999,23
536,68.54555195833333,23
537,68.355208525,23
538,68.400551075,23
539,68.39151396666666,23
540,68.44262719166667,23
541,68.71299180833333,23
542,69.23586885,23
543,69.74824289166668,23
544,69.92474730833335,23
545,70.01801754166667,23
546,69.94018468333333,23
547,70.14939404166668,23
548,70.19517453333334,23
549,69.98984159166667,23
550,69.758624575,23
551,70.09501568333333,23
552,70.132404625,23
553,69.94264954166667,24
554,69.66946089166666,24
555,69.11847935,24
556,68.59903158333333,24
557,68.23424814166667,24
558,68.08187999999998,24
559,68.13236817499998,24
560,68.07888620833334,24
561,67.97843745833333,24
562,67.69348157499999,24
563,67.49919181666667,24
564,67.60622079999999,24
565,67.74303601666666,24
566,67.65937758333332,24
567,68.11992900000001,24
568,68.41547743333335,24
569,68.41590669166666,24
570,68.74481870833333,24
571,69.43838189166667,24
572,70.11208135833333,24
573,69.96831959166666,24
574,70.00687146666667,24
575,70.15766329166667,24
576,69.78411018333335,24
