hour_of_year,temperature,day_of_year
1,67.5064227236842,1
2,67.38494924999998,1
3,67.60345054824563,1
4,67.8027071491228,1
5,67.8196614736842,1
6,67.56937413596492,1
7,67.46915339473685,1
8,67.18158504824562,1
9,67.12447296929827,1
10,68.06176628070175,1
11,68.54193647807017,1
12,68.61091610526316,1
13,68.68687420614035,1
14,68.79986131578946,1
15,69.28240042982455,1
16,69.54375350000001,1
17,69.4008549122807,1
18,69.31535494736842,1
19,69.4208134254386,1
20,69.3335047631579,1
21,69.58585815789475,1
22,69.24177695614037,1
23,68.83470945614035,1
24,68.67375271491228,1
25,68.44770138596492,2
26,68.3235971885965,2
27,68.21791429824562,2
28,67.9088986096491,2
29,67.62034259649123,2
30,67.06279884176789,2
31,67.36897909649122,2
32,68.02745170614037,2
33,68.83741870175437,2
34,69.02145253947367,2
35,68.79274428070174,2
36,68.72930717105264,2
37,68.88130017105266,2
38,69.53108028947368,2
39,70.12096662719298,2
40,70.2883333640351,2
41,70.4846618114035,2
42,70.41416587719299,2
43,70.28021730263158,2
44,70.20487799561401,2
45,70.10932229385963,2
46,70.02650066666668,2
47,69.87481533771928,2
48,69.54341668421053,2
49,68.92695918859648,3
50,68.43926717982457,3
51,68.05281836842104,3
52,67.79553025438598,3
53,67.51156148684213,3
54,67.23309591666667,3
55,67.81195051754383,3
56,68.0389227982456,3
57,68.91007921491229,3
58,69.41277287719299,3
59,69.36282581578949,3
60,69.42030161842104,3
61,69.50219865350877,3
62,69.822294622807,3
63,70.0402084736842,3
64,70.13824314473685,3
65,69.94485745614037,3
66,70.46858564912282,3
67,70.54609014035088,3
68,70.57460275438598,3
69,70.39027208333334,3
70,69.86779471052633,3
71,69.38720787280701,3
72,68.76711170614034,3
73,68.12485482894738,4
74,67.46362321491229,4
75,67.14487854385965,4
76,66.85248378508773,4
77,66.80414929385965,4
78,66.73583909649122,4
79,67.27110316228068,4
80,67.71100678508772,4
81,68.51358478947368,4
82,69.00515595614034,4
83,69.07867225438595,4
84,68.99364269298245,4
85,68.85265677631578,4
86,69.06854710087718,4
87,69.32008630701753,4
88,69.20654517982457,4
89,69.39194390350879,4
90,70.02967067105263,4
91,70.26652012280701,4
92,70.3268120877193,4
93,70.25477004385966,4
94,69.86365640789475,4
95,69.5711674254386,4
96,69.1061705263158,4
97,68.7078854780702,5
98,68.1400256491228,5
99,67.8405505877193,5
100,67.70912670614034,5
101,67.52721712280699,5
102,67.08201968859649,5
103,67.34522325,5
104,67.74990891228069,5
105,68.5292871359649,5
106,69.1058075,5
107,69.407717877193,5
108,69.54927696052631,5
109,69.22435963157893,5
110,69.1327478640351,5
111,69.33012253947368,5
112,69.48186808771929,5
113,69.65770920614034,5
114,69.5367825482456,5
115,69.73360411403507,5
116,69.9125467982456,5
117,69.84435759649124,5
118,69.86330492105263,5
119,69.50310414912279,5
120,68.88171393859649,5
121,68.17106656140349,6
122,67.61816842105263,6
123,67.23814062280702,6
124,66.95872741666666,6
125,66.62604355263159,6
126,66.26977911403507,6
127,66.01462000877191,6
128,66.44466005701756,6
129,67.90554246929825,6
130,68.67513842543859,6
131,69.30177654824561,6
132,69.4766386359649,6
133,69.42318180263158,6
134,69.36749565789474,6
135,69.51171050877193,6
136,69.39168172368421,6
137,69.5073987982456,6
138,69.71044470175438,6
139,69.98263213596492,6
140,69.80826140350878,6
141,70.16428092105264,6
142,70.17998845175438,6
143,69.75271018421051,6
144,69.11074856578948,6
145,68.43028003070177,7
146,68.02634847368421,7
147,67.62973395614036,7
148,67.28350043859648,7
149,66.92394174122808,7
150,66.65597878508771,7
151,66.47825078947369,7
152,66.96294276315788,7
153,68.08615144298246,7
154,68.97695878070172,7
155,69.71364467105262,7
156,69.91593857017546,7
157,70.22034248245615,7
158,70.29303478070175,7
159,70.02665037280701,7
160,69.86355585526317,7
161,69.7596046359649,7
162,69.58533642105262,7
163,69.65122275438596,7
164,69.61438472807016,7
165,69.56661461842106,7
166,69.48758674122806,7
167,69.23603753947368,7
168,68.92510569298244,7
169,68.46198094736842,8
170,67.97207554385966,8
171,67.56254731140352,8
172,67.31330603070174,8
173,66.92244663157895,8
174,66.83386465789472,8
175,67.46719904385965,8
176,68.18328045614035,8
177,68.6376048245614,8
178,68.98870025000001,8
179,69.11903446491227,8
180,69.21730917543859,8
181,69.28580056140353,8
182,69.3619777982456,8
183,69.57816321929826,8
184,69.36148644736839,8
185,69.61471227631579,8
186,69.8426278859649,8
187,69.70785863157896,8
188,70.00520728947369,8
189,70.03281368421054,8
190,69.9540280131579,8
191,69.7664510745614,8
192,69.16987867543858,8
193,68.55742112719301,9
194,68.06448557017544,9
195,67.56693943421051,9
196,67.24523486403507,9
197,66.99043833771927,9
198,66.80133023245615,9
199,67.2609851140351,9
200,68.0555939311741,9
201,68.65410639035088,9
202,68.87299970175438,9
203,69.06936642982457,9
204,68.93414517982457,9
205,68.89989608333336,9
206,69.00463787280701,9
207,68.8611708859649,9
208,68.67763745175438,9
209,68.54323617105263,9
210,68.63591035087717,9
211,69.30825516228069,9
212,69.37550200877192,9
213,69.3433505877193,9
214,69.38225079385964,9
215,69.13269069736842,9
216,68.666590122807,9
217,68.22923178070174,10
218,68.01331529385966,10
219,67.59354639473685,10
220,67.18314292982456,10
221,66.86137153070176,10
222,66.53161954385965,10
223,66.94996858333334,10
224,67.42999041666668,10
225,68.46962562280699,10
226,68.67100360087717,10
227,68.84161936842106,10
228,68.80018051754386,10
229,68.97767189035088,10
230,69.15841579385965,10
231,69.16428627631578,10
232,68.91017619298245,10
233,68.97117959210526,10
234,68.89142461842107,10
235,69.11586244298242,10
236,69.01915875438597,10
237,69.03968812280702,10
238,69.03141480263157,10
239,68.95181684210529,10
240,68.55667610964913,10
241,68.1221596754386,11
242,67.58444763157895,11
243,67.08511702192983,11
244,66.76758764035087,11
245,66.49507476754385,11
246,66.47527280263158,11
247,67.03460449122807,11
248,67.77689649122807,11
249,68.39521478070175,11
250,68.75743597368421,11
251,69.21682246052633,11
252,69.30997688157893,11
253,69.28978810964914,11
254,69.19191415350878,11
255,69.27437618859648,11
256,69.40171617982456,11
257,69.60061304824562,11
258,69.73849747807017,11
259,69.87670200877194,11
260,69.75296018859648,11
261,69.63032466228071,11
262,69.4092319517544,11
263,69.44289880701756,11
264,68.80086950438597,11
265,68.27323902631579,12
266,67.95860514473684,12
267,67.47507866228071,12
268,67.10328749561404,12
269,66.9486296359649,12
270,67.11857590350876,12
271,67.54226420175439,12
272,68.47915984210526,12
273,69.26283833333335,12
274,69.38609346052631,12
275,69.22193312719298,12
276,69.14698583333332,12
277,69.15492780701754,12
278,69.16855573684212,12
279,69.33820748684211,12
280,69.37012749122809,12
281,69.51147452631578,12
282,69.41107181578948,12
283,69.55117581140352,12
284,69.65855621052633,12
285,69.64913448684213,12
286,69.25882529385963,12
287,69.12966187280702,12
288,68.64557329824562,12
289,68.25027506140353,13
290,67.73324470614034,13
291,67.3289317105263,13
292,66.94810782894736,13
293,66.5969246754386,13
294,66.36216735964913,13
295,66.16943875438595,13
296,66.86454310964912,13
297,68.09668785964911,13
298,68.86796921491226,13
299,69.17340171052633,13
300,69.47993356578948,13
301,69.48484182017542,13
302,69.51337111403508,13
303,69.73107576315789,13
304,69.9130163377193,13
305,70.13815103070178,13
306,70.65713140350877,13
307,71.45682389912281,13
308,71.11575396929824,13
309,70.78443788157892,13
310,70.6256896885965,13
311,70.31337162719299,13
312,69.88300164473684,13
313,69.3611670614035,14
314,68.66564121491228,14
315,68.19760106140349,14
316,67.82891375438597,14
317,67.46366274122806,14
318,67.13575978070175,14
319,66.88674045614034,14
320,67.36024347368422,14
321,68.53920768859648,14
322,69.32095271929826,14
323,70.44201860964914,14
324,71.08893187280701,14
325,71.30795523245614,14
326,71.32745440789476,14
327,71.101322622807,14
328,70.91195545614033,14
329,71.09175457894736,14
330,71.18266872368422,14
331,71.06244838596493,14
332,71.04769825000001,14
333,71.03853025438598,14
334,70.94246603947369,14
335,70.65921791228071,14
336,70.16862214035088,14
337,69.72194388157892,15
338,69.2248317236842,15
339,68.71629068421053,15
340,68.28891297807017,15
341,67.97873390789474,15
342,67.7724055,15
343,68.07477364473685,15
344,68.56139815350878,15
345,68.72679023245615,15
346,69.57093742543859,15
347,70.29190559649123,15
348,70.37367177631579,15
349,70.51053055701755,15
350,70.47596479385966,15
351,70.8127719254386,15
352,70.78419212280701,15
353,70.59107542543859,15
354,70.61930486842103,15
355,70.62045356578949,15
356,70.72542382017545,15
357,70.98400750877192,15
358,70.68350265350877,15
359,70.40322558771928,15
360,69.89992987719297,15
361,69.3711811008772,16
362,68.92482289541161,16
363,68.47712323076922,16
364,68.09237090789473,16
365,67.7410201008772,16
366,67.45487324122806,16
367,67.82391253508774,16
368,68.54123851754386,16
369,68.99449185526315,16
370,69.40655491228071,16
371,69.77327291666666,16
372,70.19232804824561,16
373,70.06999453070175,16
374,70.7398043114035,16
375,71.01845221491229,16
376,70.98319457894736,16
377,70.93055157894737,16
378,70.75088733333334,16
379,70.47411569298245,16
380,70.34431830701756,16
381,70.13966167982457,16
382,70.06989261842104,16
383,70.04129732894738,16
384,69.37259539912282,16
385,68.74799764912281,17
386,68.44779247368422,17
387,68.09788663596491,17
388,67.68427095175439,17
389,67.32112651315788,17
390,67.06719334649124,17
391,67.6372048508772,17
392,68.35724108771929,17
393,69.4276692763158,17
394,69.80590846929825,17
395,69.56120594298245,17
396,69.80840485964912,17
397,69.76179340350878,17
398,69.67048428508772,17
399,69.84583475877193,17
400,70.01455825877193,17
401,70.03969171929825,17
402,69.91146257456143,17
403,70.18934469298244,17
404,70.01101289473684,17
405,69.80671374561405,17
406,69.78897135526316,17
407,69.73389893421052,17
408,69.34887008771928,17
409,69.27690515789473,18
410,69.35376176754384,18
411,68.87013235526315,18
412,68.48910860964911,18
413,68.13540647368421,18
414,68.09919738157895,18
415,68.48621598245614,18
416,69.04711764035089,18
417,69.45668558333334,18
418,69.51706944736843,18
419,69.34260371929824,18
420,69.69071863596491,18
421,69.94407953070176,18
422,69.85569630701755,18
423,70.0721337236842,18
424,70.0630278114035,18
425,69.79083048245613,18
426,69.82201628947368,18
427,70.22190850438598,18
428,70.63060441228072,18
429,70.47076382894736,18
430,70.38235244298245,18
431,70.13022792105262,18
432,69.60417062280702,18
433,69.30185795175437,19
434,68.8945399122807,19
435,68.62653328070176,19
436,68.30540198245613,19
437,68.00052971052632,19
438,67.72473443421053,19
439,67.96639766666665,19
440,68.26020397807015,19
441,69.21024492982457,19
442,69.69168405701755,19
443,69.64912214035088,19
444,69.88412429824561,19
445,70.00935394298244,19
446,69.95736221929826,19
447,70.18374538157896,19
