hour_of_year,temperature_in,day_of_year
1,67.5486674375,1
2,67.1639920407125,1
3,66.7666638274613,1
4,66.4636906090967,1
5,66.2104628091603,1
6,66.1182892755428,1
7,66.2016462765006,1
8,66.3872614961686,1
9,66.6793219265645,1
10,66.999014154262,1
11,67.4040506015326,1
12,67.7134179381411,1
13,67.9318778358974,1
14,68.094691651923,1
15,68.3610548637821,1
16,68.4600148958334,1
17,68.5268257003205,1
18,68.6472810320513,1
19,68.8434769439102,1
20,68.9506914326948,1
21,68.9360190749158,1
22,68.8653384435898,1
23,68.5384684199519,1
24,68.0621504346154,1
25,67.5578728199359,2
26,67.0420548569604,2
27,66.612457100894,2
28,66.1750249449918,2
29,65.8948908806611,2
30,65.8162745595432,2
31,66.0848492404215,2
32,66.5320321272719,2
33,66.8771561532567,2
34,67.203384105364,2
35,67.5745930054278,2
36,67.7972762105829,2
37,67.9272963083334,2
38,68.0884032246795,2
39,68.2279548708334,2
40,68.3438158810898,2
41,68.4685577810897,2
42,68.6072085494892,2
43,68.7517885814176,2
44,68.9547384704198,2
45,69.1273154456106,2
46,69.1313968256997,2
47,68.8533673396947,2
48,68.3585059548346,2
49,67.7007965295802,3
50,67.195116236859,3
51,66.6974375509616,3
52,66.2880943939103,3
53,66.0119933037323,3
54,65.9788463748398,3
55,66.2178396790607,3
56,66.5665266519796,3
57,66.9674380776082,3
58,67.3110156832061,3
59,67.5660965096577,3
60,67.6254526361324,3
61,67.7364708813613,3
62,67.9485257868957,3
63,68.0168310628991,3
64,68.1616605545977,3
65,68.2065241060026,3
66,68.4281360204342,3
67,68.6641377131044,3
68,68.9156291246819,3
69,69.0098266698473,3
70,68.9357166195929,3
71,68.6801482312341,3
72,68.2190011688931,3
73,67.7175010357599,4
74,67.1586044892671,4
75,66.6745462541507,4
76,66.3100838901661,4
77,66.0374520453384,4
78,66.0123188733975,4
79,66.3001224919872,4
80,66.7658837733975,4
81,67.1248106538461,4
82,67.3751938444656,4
83,67.6389058136133,4
84,67.7286316908397,4
85,67.8071384080789,4
86,67.8544800547074,4
87,67.8540551594572,4
88,67.929312676923,4
89,68.1326336333333,4
90,68.5302386121795,4
91,68.8736221676282,4
92,69.0635062709924,4
93,69.1545285251273,4
94,69.0545174246488,4
95,68.831303230843,4
96,68.4059880814176,4
97,67.9100773221584,5
98,67.4305005494592,5
99,67.0349739500636,5
100,66.7266656943384,5
101,66.495119571883,5
102,66.4587145429389,5
103,66.7155232879949,5
104,67.1516668060898,5
105,67.5424347125,5
106,67.724135123718,5
107,67.9051233671171,5
108,68.0552335016026,5
109,68.1280869166667,5
110,68.1915428961539,5
111,68.2374721307692,5
112,68.3350012563276,5
113,68.4401916433299,5
114,68.6491632988506,5
115,68.9066785724777,5
116,69.1249645890805,5
117,69.2423337844828,5
118,69.2291114784004,5
119,68.9835007442748,5
120,68.6014696622137,5
121,68.1638881784351,6
122,67.761354423346,6
123,67.3819371316794,6
124,67.0963705171756,6
125,66.8322350451655,6
126,66.6490328918575,6
127,66.8700988081099,6
128,67.1471962158365,6
129,67.4610959083333,6
130,67.7223396977565,6
131,68.0022404924968,6
132,68.2723053426282,6
133,68.456417905609,6
134,68.629618774359,6
135,68.671099041507,6
136,68.7106966246819,6
137,68.8220754176172,6
138,68.9492986020279,6
139,69.0203331142606,6
140,69.1299379223919,6
141,69.1970008966285,6
142,69.1750163298346,6
143,68.9932801956107,6
144,68.5667939853689,6
145,68.0271269434865,7
146,67.5640156210089,7
147,67.1753296226053,7
148,66.7739773786578,7
149,66.5305964304707,7
150,66.3417535604326,7
151,66.3983470407125,7
152,66.7223294322519,7
153,67.1469318485424,7
154,67.6629848025982,7
155,68.0165323091603,7
156,68.2813268508269,7
157,68.4425838263318,7
158,68.6710750357692,7
159,68.8125619840585,7
160,68.9407693339744,7
161,69.0312566982759,7
162,69.1781393405058,7
163,69.3087405722433,7
164,69.3172996775425,7
165,69.3446939106692,7
166,69.230058523043,7
167,69.0251146998106,7
168,68.6122296381428,7
169,68.2013316240458,8
170,67.7133481459924,8
171,67.3053643291984,8
172,66.9361650343512,8
173,66.6190095569339,8
174,66.4825650190114,8
175,66.6979360111323,8
176,67.0517395516477,8
177,67.3240925636882,8
178,67.6198574378961,8
179,67.8741450530303,8
180,68.087271864899,8
181,68.2125676893939,8
182,68.3258542831087,8
183,68.3855789383648,8
184,68.4346658368973,8
185,68.5507213671086,8
186,68.7064734965278,8
187,68.9178711657196,8
188,69.1327174371844,8
189,69.255847126109,8
190,69.237191517744,8
191,69.0326839775032,8
192,68.6956472905577,8
193,68.3187631670349,9
194,67.901731033414,9
195,67.4501539409323,9
196,67.0934969399744,9
197,66.8177948607918,9
198,66.7104980590013,9
199,66.8815260937067,9
200,67.306582350351,9
201,67.5948056581439,9
202,67.7822958972232,9
203,67.9364787354246,9
204,67.9962703253817,9
205,68.1167889793258,9
206,68.1600215363985,9
207,68.2043782190195,9
208,68.2937611039291,9
209,68.4363615560836,9
210,68.6079059876426,9
211,68.9381765842876,9
212,69.1467172474651,9
213,69.1658666420454,9
214,69.1635648142361,9
215,68.9316065405307,9
216,68.501979389313,9
217,68.0234227321883,10
218,67.5905830493002,10
219,67.0920865060432,10
220,66.7275840009818,10
221,66.3906961257829,10
222,66.2135646816157,10
223,66.3703252037389,10
224,66.7981883561658,10
225,67.1958164188189,10
226,67.473407508872,10
227,67.670319190431,10
228,67.7467114363118,10
229,67.8723543794075,10
230,67.9563057439336,10
231,68.0176106469465,10
232,68.0818238368321,10
233,68.136594179341,10
234,68.3115535893536,10
235,68.6521153358682,10
236,68.8708385193283,10
237,68.9079049217364,10
238,68.9001932997465,10
239,68.690901918251,10
240,68.356755867816,10
241,67.9505270015965,11
242,67.4749713837803,11
243,67.0269615689656,11
244,66.6938655230672,11
245,66.4276134236375,11
246,66.3503978586819,11
247,66.6260431597592,11
248,67.0925084262779,11
249,67.3944051774851,11
250,67.6550596125955,11
251,67.89060020229,11
252,67.9426577683678,11
253,67.9908933843473,11
254,68.0693562245107,11
255,68.1575493156566,11
256,68.2532019176137,11
257,68.4361450334596,11
258,68.5889657285353,11
259,68.9229826959288,11
260,69.1454050375318,11
261,69.1776705903308,11
262,69.1202850041348,11
263,68.8922581803549,11
264,68.4927340665112,11
265,68.1101675591603,12
266,67.6642346905217,12
267,67.2648181653945,12
268,66.9511131348601,12
269,66.6973672280989,12
270,66.6602581313613,12
271,66.8334638101145,12
272,67.2262333406769,12
273,67.5304316917939,12
274,67.7216254033587,12
275,67.8331695581098,12
276,67.9844270750636,12
277,68.017324932631,12
278,68.1005988071519,12
279,68.1180904067642,12
280,68.2228917233974,12
281,68.3420051386906,12
282,68.5432799942529,12
283,68.8044557432951,12
284,68.9199467484217,12
285,68.9426648257576,12
286,68.9492077075412,12
287,68.7548739521546,12
288,68.4382602192649,12
289,68.082692278362,13
290,67.6844626103689,13
291,67.3038990485663,13
292,66.9839268177481,13
293,66.7153795197201,13
294,66.5290510467557,13
295,66.5824035322872,13
296,66.9456459420152,13
297,67.2993051536755,13
298,67.6409069594423,13
299,67.9443801042459,13
300,68.184897524398,13
301,68.3537486819924,13
302,68.5304605012771,13
303,68.7898067347757,13
304,68.9752700061369,13
305,69.0877680143162,13
306,69.184269506435,13
307,69.3154480645995,13
308,69.377704653584,13
309,69.3723014740385,13
310,69.2702791193593,13
311,68.9641960121795,13
312,68.6015953670614,13
313,68.1633392946998,14
314,67.6860579942529,14
315,67.302245089719,14
316,66.9382759942308,14
317,66.6362802198718,14
318,66.4615710051282,14
319,66.4694904423077,14
320,66.7329513707312,14
321,67.1327727140585,14
322,67.6152157509542,14
323,68.1116259452348,14
324,68.3438681773703,14
325,68.4583953726236,14
326,68.6321468709817,14
327,68.7738573010139,14
328,68.9160684378961,14
329,68.9837740679293,14
330,69.0555909793245,14
331,69.1854997280534,14
332,69.2262781886377,14
333,69.2547444077608,14
334,69.1483940127227,14
335,68.9524920168575,14
336,68.5383906501272,14
337,68.0345001398467,15
338,67.5774031507025,15
339,67.1421832945293,15
340,66.7679862857143,15
341,66.4418584370229,15
342,66.2688499821883,15
343,66.396191831743,15
344,66.7667778826336,15
345,67.0498712187101,15
346,67.4952318381043,15
347,67.9473416909324,15
348,68.1296593547254,15
349,68.3340795743934,15
350,68.4741266936637,15
351,68.5786209323155,15
352,68.6613845632952,15
353,68.6986940137293,15
354,68.7858268466921,15
355,69.0345660947837,15
356,69.1669111485369,15
357,69.1982882515843,15
358,69.1574230339037,15
359,68.9488170155852,15
360,68.5326583276082,15
361,68.1111009208015,16
362,67.6790902404214,16
363,67.2236500680498,16
364,66.8745840852418,16
365,66.6032219090331,16
366,66.526068523627,16
367,66.8103030159643,16
368,67.289462423718,16
369,67.5629228708333,16
370,67.8256895080128,16
371,68.0462930130616,16
372,68.0715054771558,16
373,68.047626798385,16
374,68.1366589658884,16
375,68.2195695912385,16
376,68.3419422249016,16
377,68.4891460725912,16
378,68.6616571115434,16
379,68.963459399106,16
380,69.1065088159145,16
381,69.2000554143853,16
382,69.210307706425,16
383,69.0219336071884,16
384,68.6516424796438,16
385,68.2320499026181,17
386,67.8052431345253,17
387,67.4111933623882,17
388,67.0414933144955,17
389,66.752102701788,17
390,66.6767012966156,17
391,66.8085086366565,17
392,67.2416398355769,17
393,67.6123847926282,17
394,67.8458575132731,17
395,67.9432278554816,17
396,67.9573673912037,17
397,67.9816231645472,17
398,68.0067638168567,17
399,68.1302255500634,17
400,68.2755716140684,17
401,68.4228436044409,17
402,68.6344167560203,17
403,68.9332613986059,17
404,69.1584852436629,17
405,69.2219646169202,17
406,69.2187158133713,17
407,69.0513062813687,17
408,68.7121138476463,17
409,68.4014966953986,18
410,68.0330296803435,18
411,67.654970630089,18
412,67.3306193097965,18
413,67.0489775279898,18
414,66.9481724634224,18
415,67.0584644258906,18
416,67.3878325683843,18
417,67.6514113751597,18
418,67.8194730162836,18
419,67.9461775590677,18
420,68.0264432356322,18
421,68.1828343683206,18
422,68.2581952509579,18
423,68.392562743295,18
424,68.4789716478288,18
425,68.6107086891026,18
426,68.8075166951469,18
427,69.0994412461686,18
428,69.258542612069,18
429,69.2358415154262,18
430,69.1695689987277,18
431,68.9510791844784,18
432,68.5955081003499,18
433,68.1865335410257,19
434,67.7611719534188,19
435,67.3415876903846,19
436,66.9375958153846,19
437,66.6120272426564,19
438,66.4760294655172,19
439,66.6630871465517,19
440,67.0210184029375,19
441,67.4375703627075,19
442,67.6863624955471,19
443,67.8566271025884,19
444,67.9956448854167,19
445,68.0749329522387,19
446,68.0690059842171,19
