hour_of_year,temperature,day_of_year
1,67.54905516765872,1
2,67.16625972420631,1
3,66.75208108585167,1
4,66.29400289980155,1
5,65.97841624900792,1
6,65.9318665331325,1
7,65.93457589558231,1
8,66.08512768574299,1
9,66.49165021084337,1
10,66.78368410912701,1
11,67.31377065261047,1
12,67.70834457630522,1
13,68.02523271987953,1
14,68.05665089257027,1
15,68.30084874698797,1
16,68.4184914146586,1
17,68.51759755321284,1
18,68.72094858433736,1
19,68.98356473293171,1
20,69.06692041884918,1
21,68.9583915029762,1
22,68.79858652678567,1
23,68.2837864139385,1
24,67.73757235615079,1
25,67.18175515674602,2
26,66.63878150198411,2
27,66.26213213888889,2
28,65.78105516737527,2
29,65.46896707577841,2
30,65.53259992658734,2
31,65.80278919444443,2
32,66.25596802243588,2
33,66.54198042956351,2
34,67.00599272023808,2
35,67.47230663392855,2
36,67.62525270039683,2
37,67.53336217261905,2
38,67.65022828968256,2
39,67.74263696825396,2
40,67.89461164781744,2
41,68.13732641964286,2
42,68.47813165674602,2
43,68.71123904761903,2
44,68.80091190476188,2
45,68.90165370138891,2
46,68.83315862996031,2
47,68.46111563492062,2
48,67.96920605853173,2
49,67.39448232440476,3
50,67.05287927337395,3
51,66.45624088719511,3
52,66.09418997357726,3
53,65.78355153353658,3
54,65.90974095431726,3
55,66.21360655934343,3
56,66.48629884424604,3
57,66.73592698511905,3
58,67.08517703373016,3
59,67.38350997321427,3
60,67.37193046329362,3
61,67.46965005158732,3
62,67.6589080486111,3
63,67.6709736305221,3
64,67.82403582429721,3
65,68.08503658232931,3
66,68.37857470883532,3
67,68.55764878968255,3
68,68.75378178273812,3
69,68.8880246676587,3
70,68.87265548214285,3
71,68.54119440178572,3
72,68.04298750992061,3
73,67.53483355952383,4
74,67.03243575732601,4
75,66.49783254563488,4
76,66.1163693234127,4
77,65.71175285813491,4
78,65.75430258433735,4
79,66.0411161074297,4
80,66.43035599899598,4
81,66.81759632228916,4
82,67.2460141626984,4
83,67.57807822123016,4
84,67.5954737857143,4
85,67.61576190476191,4
86,67.67926373214287,4
87,67.62677925892856,4
88,67.7963747058233,4
89,68.15610532028114,4
90,68.52526420682733,4
91,68.82989605321286,4
92,68.84979225694447,4
93,69.06861928670638,4
94,69.04828425396822,4
95,68.82780256051588,4
96,68.38600379761905,4
97,67.79016462896826,5
98,67.34244551686504,5
99,66.9763715952381,5
