hour_of_year,temperature,day_of_year
1,68.01791709433962,1
2,67.62498228930818,1
3,67.25236970911949,1
4,66.95463048270443,1
5,66.75962773270439,1
6,66.6321146163522,1
7,66.75305085062895,1
8,67.13833275314467,1
9,67.49880165251574,1
10,68.00114947484278,1
11,68.51791577515722,1
12,68.76082812421384,1
13,68.8986736698113,1
14,69.00499452515723,1
15,69.26612462893083,1
16,69.38122600314466,1
17,69.33619645125788,1
18,69.28652518867924,1
19,69.59517326886791,1
20,69.74425287106916,1
21,69.86447529659803,1
22,69.83456094070513,1
23,69.4762994695513,1
24,68.87941020512821,1
25,68.16486881730769,2
26,67.5530936826923,2
27,67.05431233653847,2
28,66.67705322916667,2
29,66.47517475357496,2
30,66.38248615692802,2
31,66.76989102403844,2
32,67.7046097227564,2
33,68.36869093910254,2
34,68.53569736378205,2
35,68.56360825961539,2
36,68.68922450480768,2
37,68.82606223717947,2
38,69.06099495833331,2
39,69.22474258814101,2
40,69.35280286858975,2
41,69.48700086217949,2
42,69.5965922003205,2
43,69.67714079166669,2
44,69.61684034134613,2
45,69.61922641506409,2
46,69.59984243749997,2
47,69.30079944391026,2
48,68.70429113461537,2
49,67.85223762980772,3
50,67.15252945512819,3
51,66.57706425,3
52,66.14279059935896,3
53,65.88193017628203,3
54,65.97333185416666,3
55,66.48499092307695,3
56,67.15166840064101,3
57,67.96670419711538,3
58,68.43462266666667,3
59,68.63104212820514,3
60,68.73868627243593,3
61,68.7717593573718,3
62,68.93852845352563,3
63,68.98786586217949,3
64,69.015817713141,3
65,68.95579652243592,3
66,69.34476829807694,3
67,69.63322439583334,3
68,69.94003304006411,3
69,69.99664628044872,3
70,69.76644550801281,3
71,69.39747938461538,3
72,68.76180795192307,3
73,68.04214166987181,4
74,67.29296312499997,4
75,66.78731339102566,4
76,66.37739649038464,4
77,66.24574372916668,4
78,66.32720693910257,4
79,66.80027567788463,4
80,67.58499120192306,4
81,68.25436728205128,4
82,68.49365390064105,4
83,68.73216292467947,4
84,68.81850136217946,4
85,68.88664025641023,4
86,68.9576657852564,4
87,69.10750760096154,4
88,69.04027965064101,4
89,69.17971497115383,4
90,69.70759098397436,4
91,70.02005014903845,4
92,70.12568217788466,4
93,70.07550762980769,4
94,69.69416160256412,4
95,69.28976477564102,4
96,68.7011725576923,4
97,68.14577072596155,5
98,67.59492357852565,5
99,67.17373819230771,5
100,66.86976089423077,5
101,66.61859818429487,5
102,66.57705319711539,5
103,66.90830969871794,5
104,67.6954252852564,5
105,68.46379465544872,5
106,68.79301223717947,5
107,69.00066475641026,5
108,69.15431163621795,5
109,69.14693088141024,5
110,69.06776417628205,5
111,69.13530392948718,5
112,69.17653305769231,5
113,69.29218005929489,5
114,69.3879763349359,5
115,69.6749852852564,5
116,69.7978650528846,5
117,69.79839175641024,5
118,69.70620968108975,5
119,69.31099700480769,5
120,68.75855650641026,5
121,68.11030158974357,6
122,67.57040176121797,6
123,67.14102184935898,6
124,66.69681067307694,6
125,66.38503091506406,6
126,66.23778115705129,6
127,66.39176366666666,6
128,67.12772227724355,6
129,67.9185808205128,6
130,68.48430212019231,6
131,68.98588081891025,6
132,69.29645444551284,6
133,69.34975441506411,6
134,69.4228712355769,6
135,69.47440125320512,6
136,69.50246492948719,6
137,69.60255289583331,6
138,69.80079265544872,6
139,70.0472862676282,6
140,70.05053932371797,6
141,70.19962172596153,6
142,69.99598535897437,6
143,69.58286177083335,6
144,68.96811401762822,6
145,68.34178046153848,7
146,67.76409961217948,7
147,67.25439231570513,7
148,66.82524119230769,7
149,66.53786210416663,7
150,66.45695236057692,7
151,66.56539911378205,7
152,67.23973683653847,7
153,68.07237668910257,7
154,68.74390725320514,7
155,69.12325402724359,7
156,69.43094671314101,7
157,69.66021377655677,7
158,69.8229485408497,7
159,69.75151304738561,7
160,69.82969436274507,7
161,69.81324486601306,7
162,69.76764013141027,7
163,69.8231496346154,7
164,69.84919540705128,7
165,69.84710913141026,7
166,69.67011857692306,7
167,69.3316720128205,7
168,68.8183423125,7
169,68.1893179455128,8
170,67.60120964102565,8
171,67.11665498557693,8
172,66.77397091826923,8
173,66.48322327724358,8
174,66.52512207051282,8
175,67.05066690224359,8
176,67.76816186949685,8
177,68.41992139150943,8
178,68.83204118867926,8
179,68.93697312735848,8
180,69.13060161949686,8
181,69.09842467610062,8
182,69.07338295597484,8
183,69.17771924685535,8
184,69.11112621698113,8
185,69.22773969339623,8
186,69.42193676415093,8
187,69.65407603301885,8
188,69.72972158018868,8
189,69.78112866025643,8
190,69.69015782692307,8
191,69.37433073076923,8
192,68.82452198717951,8
193,68.16795846474359,9
194,67.67554880608975,9
195,67.20945426602566,9
196,66.78947080448718,9
197,66.51087732532051,9
198,66.43849260298742,9
199,66.79400015541846,9
200,67.73160326947267,9
