hour_of_year,temperature_in,day_of_year
1,66.60205125,1
2,66.2403033055555,1
3,65.8215782103175,1
4,65.6900296805556,1
5,65.4389459424603,1
6,65.2475084265873,1
7,65.1278714007937,1
8,64.9402413869048,1
9,64.9315349623016,1
10,65.1867703611111,1
11,65.5796264563492,1
12,66.0202267023809,1
13,66.2343326210317,1
14,66.5015867261904,1
15,66.9419008273809,1
16,67.0215293055555,1
17,67.1013717321429,1
18,67.1358412261905,1
19,67.1584915019841,1
20,67.2816823928572,1
21,67.3232953869048,1
22,67.5594965238095,1
23,67.5603627460317,1
24,67.264841875,1
25,67.0483590575397,2
26,66.6501326329365,2
27,66.2120867876984,2
28,65.7192968075397,2
29,65.3039161352259,2
30,65.1039420602869,2
31,65.0875238670635,2
32,65.085885827381,2
33,65.3256007103175,2
34,65.7745216210318,2
35,66.3006625654762,2
36,66.8182077043651,2
37,66.9857640674603,2
38,67.062863859127,2
39,67.1981916507937,2
40,67.1798092400794,2
41,67.4828511746032,2
42,67.6225271388889,2
43,67.6462173531746,2
44,68.2382289147287,2
45,68.5634056918605,2
46,68.5375415755814,2
47,68.4993909534884,2
48,68.2147109593023,2
49,67.4640808585271,3
50,66.9597874418605,3
51,66.7045590348837,3
52,66.1820178372093,3
53,65.8729344147287,3
54,65.6685888546512,3
55,65.5526359476744,3
56,65.6347362616279,3
57,65.8535937984496,3
58,66.2055233468992,3
59,66.5387177875264,3
60,66.5385686337209,3
61,66.6507747364341,3
62,67.0103456104651,3
63,67.0706320968992,3
64,67.3413316162791,3
65,67.2913668217054,3
66,67.4761894961241,3
67,67.8645628817829,3
68,68.1700010988372,3
69,68.4101293953488,3
70,68.4101711724806,3
71,68.2305774282946,3
72,67.8881252674419,3
73,67.5053202635659,4
74,67.0964452674419,4
75,66.710906124031,4
76,66.3810951899225,4
77,66.0638324244186,4
78,65.8765430503876,4
79,65.9163314593023,4
80,65.9802453643411,4
81,66.1675070348837,4
82,66.4090047093023,4
83,66.6464206162791,4
84,66.7406300329458,4
85,66.7169412945736,4
86,66.6994110542636,4
87,66.5727355930232,4
88,66.6099312732558,4
89,66.8966552073644,4
90,67.2920205290698,4
91,67.662717629845,4
92,68.0446026821705,4
93,68.2100943158915,4
94,68.1237437440476,4
95,68.0926207738095,4
96,67.9465030515873,4
97,67.6195142837302,5
98,67.0692540552326,5
99,66.6451733992248,5
100,66.4062583953488,5
101,66.2603661879845,5
102,66.1692022325582,5
103,66.1935817848837,5
104,66.1671971434109,5
105,66.4337582674419,5
106,66.5039672829458,5
107,66.8339065717054,5
108,66.9902517131783,5
109,67.0146658275194,5
110,67.0415245503876,5
111,67.1413100271318,5
112,67.3161108527132,5
113,67.3445775387597,5
114,67.4178176085271,5
115,67.5641414282946,5
116,68.002091748062,5
117,68.1921804224806,5
118,68.4290804031008,5
119,68.4862976899225,5
120,68.3230762325582,5
121,67.9965030678295,6
122,67.7523315600775,6
123,67.4867849689923,6
124,67.3110640406977,6
125,67.1201218139535,6
126,66.8990173449613,6
127,66.7704268856589,6
128,66.5693637906977,6
129,66.8004786569767,6
130,67.0617420658915,6
131,67.3748517616279,6
132,67.7842017189923,6
133,68.1075687732558,6
134,68.2929596686046,6
135,68.445661870155,6
136,68.418672624031,6
137,68.4163146472868,6
138,68.4574121065892,6
139,68.2498599224806,6
140,68.290061622093,6
141,68.4368921744186,6
142,68.667238496124,6
143,68.7767214244186,6
144,68.6275170484496,6
145,67.8438630059524,7
146,67.4605872817461,7
147,66.991608484127,7
148,66.5169955833333,7
149,66.6287965065892,7
150,66.2896853837209,7
151,65.9786278255814,7
152,65.8596625968992,7
153,66.0222591744186,7
154,66.5175586375969,7
155,66.6083112896826,7
156,66.8777752162698,7
157,67.015264813492,7
158,67.4933956930232,7
159,67.9353834119319,7
160,68.2703141174243,7
161,68.6501084924242,7
162,68.9592304273416,7
163,69.0728185587121,7
164,69.0629350132576,7
165,69.1575435113636,7
166,69.1662367727273,7
167,69.114037907197,7
168,68.8681944147727,7
169,68.6545456705426,8
170,68.1749004806202,8
171,67.6792476802326,8
172,67.3692804573643,8
173,66.9682552713178,8
174,66.6063252267442,8
175,66.5022288546512,8
176,66.4205034728682,8
177,66.4046475445737,8
178,66.5523338178295,8
179,67.0043672945736,8
180,67.485813003876,8
181,67.6288300891473,8
182,67.6549991823593,8
183,67.663671125,8
184,67.8199074305556,8
185,67.8470192383721,8
186,67.8088652286822,8
187,67.9676834089147,8
188,68.2401248585272,8
189,68.7419987689394,8
190,68.8893704602273,8
191,68.8330831363636,8
192,68.8057781742424,8
193,68.709472897096,9
