hour_of_year,temperature,day_of_year
1,67.95061087377451,1
2,67.54002649387253,1
3,67.16421555759806,1
4,66.91551503676472,1
5,66.66409086887255,1
6,66.5580974105392,1
7,66.80698192156865,1
8,67.04924309313728,1
9,67.2611645110294,1
10,67.51130784191174,1
11,67.75422459436274,1
12,68.00875564093138,1
13,68.23296815686274,1
14,68.55764027083333,1
15,68.76941655024511,1
16,68.82381530759804,1
17,68.8468590845588,1
18,68.93250723529414,1
19,69.03742370588236,1
20,69.14468172671569,1
21,69.15883941789217,1
22,69.04219774387256,1
23,68.75500405392157,1
24,68.38355335171569,1
25,67.9791972772059,2
26,67.50647221568626,2
27,67.08317360661766,2
28,66.65834760661767,2
29,66.3726824739819,2
30,66.14868808600713,2
31,66.39504434436276,2
32,66.66681165686276,2
33,66.94012941544116,2
34,67.20944998897059,2
35,67.65451084191177,2
36,67.86655299142156,2
37,68.25217948161763,2
38,68.47526695955881,2
39,68.64788893382352,2
40,68.79732450857844,2
41,68.67236593382353,2
42,68.64843528063724,2
43,68.81242680269608,2
44,69.11699147181375,2
45,69.42564043872554,2
46,69.5238250612745,2
47,69.2757866519608,2
48,68.79730143137255,2
49,68.26276650735294,3
50,67.70973590563726,3
51,67.21192868504897,3
52,66.78759373161763,3
53,66.53020737499999,3
54,66.34514144240198,3
55,66.56853297549023,3
56,66.89601206862747,3
57,67.15988049754903,3
58,67.36193572058824,3
59,67.55132047181374,3
60,67.70362789460785,3
61,67.93001726715686,3
62,68.13372317156863,3
63,68.25445894730392,3
64,68.38357209803921,3
65,68.30456346323528,3
66,68.37087163725488,3
67,68.58883794607846,3
68,68.83300534558823,3
69,68.85151310049022,3
70,68.78249221813725,3
71,68.64282102941176,3
72,68.33996664338234,3
73,67.88922751838236,4
74,67.29110117524507,4
75,66.81646844117647,4
76,66.4671737144608,4
77,66.24198219362744,4
78,66.14123480882351,4
79,66.4559982892157,4
80,66.96864303186274,4
81,67.18955171446079,4
82,67.31187493382352,4
83,67.57283003063725,4
84,67.7432111164216,4
85,67.96783437132353,4
86,68.01948419730392,4
87,68.02312775980393,4
88,67.97543441544119,4
89,68.03048370833334,4
90,68.37376956127453,4
91,68.78943606004904,4
92,69.22038671813725,4
93,69.26492764583334,4
94,69.25229481127451,4
95,69.04915303431373,4
96,68.61416267647061,4
97,68.1764922769608,5
98,67.73095100735296,5
99,67.31634990808823,5
100,66.98287329656864,5
101,66.74793277696078,5
102,66.69153853921568,5
103,66.98023120710783,5
104,67.24071402205882,5
105,67.55366769240197,5
106,67.68792593137256,5
107,67.90149578186272,5
108,68.10260772916664,5
109,68.25958679289215,5
110,68.3702908517157,5
111,68.37871236151962,5
112,68.47994863848037,5
113,68.52684659681371,5
114,68.67943167892155,5
115,69.06483707720588,5
116,69.38076608578432,5
117,69.53332794607842,5
118,69.54498620343136,5
119,69.3138782512255,5
120,68.97916790318628,5
121,68.62277446568625,6
122,68.23688452205883,6
123,67.81468376838238,6
124,67.47911813970586,6
125,67.15046718504901,6
126,66.95068971936273,6
127,67.14471269607846,6
128,67.20320004411766,6
129,67.27811844730392,6
130,67.45161133210786,6
131,67.65396120955882,6
132,67.84508283457713,6
133,68.23101630176767,6
134,68.48114532954544,6
135,68.65174278409093,6
136,68.76018085696518,6
137,68.80891944730392,6
138,68.83864405882352,6
139,68.88169868382356,6
140,69.07443253063728,6
141,69.04815919607846,6
142,69.00567674264708,6
143,68.91190384436274,6
144,68.57194260784314,6
145,68.18196382475489,7
146,67.75597911519608,7
147,67.54312181740197,7
148,67.26132267769607,7
149,66.9738777487745,7
150,66.74882653921567,7
151,66.94738387745096,7
152,67.18048482843137,7
153,67.33948016911766,7
154,67.66444729411766,7
155,68.07134975490193,7
156,68.23076448529412,7
157,68.42432830943628,7
158,68.57150468159203,7
159,68.65834289427859,7
160,68.69108654850746,7
161,68.74153056965176,7
162,68.87176461887253,7
163,68.99250236274509,7
164,69.14377880269609,7
165,69.17857434313726,7
166,69.10099649264707,7
167,69.04179828308823,7
168,68.70455797058824,7
169,68.31886266544119,8
170,67.92335696936276,8
171,67.57681753431373,8
172,67.17518998161763,8
173,66.8861654227941,8
174,66.73700002573528,8
175,66.93831951715686,8
176,67.2469118125,8
177,67.4395065490196,8
178,67.56682135294118,8
179,67.84951692647057,8
180,68.08826737745099,8
181,68.37531228186275,8
182,68.6090645637255,8
183,68.66033990686275,8
184,68.57843675735292,8
185,68.61638452818629,8
186,68.89133516911767,8
187,69.10531363725492,8
188,69.26195015808823,8
189,69.33123527328429,8
190,69.38520100857843,8
191,69.20796927818631,8
192,68.89063766789216,8
193,68.52561092892155,9
194,68.12591208210785,9
195,67.7685367340686,9
196,67.52916261642156,9
197,67.25644348039216,9
198,67.06097915931372,9
199,67.19474371314101,9
200,67.48651487856876,9
201,67.7165686531863,9
202,67.73345517479947,9
203,67.86138876741293,9
204,67.92337999253728,9
205,68.12250440049748,9
206,68.26202283964649,9
207,68.40151946843434,9
