hour_of_year,temperature_in,day_of_year
1,66.4078409090909,1
2,66.1035227272727,1
3,65.7618333333333,1
4,65.6489242424243,1
5,65.6105378787879,1
6,65.6810378787879,1
7,65.8134696969697,1
8,66.4347272727273,1
9,67.3126136363636,1
10,67.8375454545455,1
11,67.9401893939394,1
12,67.9773409090909,1
13,67.9250378787879,1
14,68.0287348484849,1
15,68.2249924242424,1
16,68.4676515151515,1
17,68.8847878787879,1
18,69.4665151515152,1
19,69.6939848484849,1
20,69.5512727272727,1
21,69.2170227272727,1
22,68.8145227272727,1
23,68.3848636363637,1
24,67.6389090909091,1
25,66.8666287878788,2
26,66.3561515151515,2
27,65.9001439393939,2
28,65.669696969697,2
29,65.6550151515152,2
30,65.862696969697,2
31,66.8478106060606,2
32,67.8035378787879,2
33,68.1388106060606,2
34,68.0478257575758,2
35,68.0947348484848,2
36,68.1745378787879,2
37,68.1847348484849,2
38,68.2417878787879,2
39,68.3810075757576,2
40,68.458446969697,2
41,68.4281666666667,2
42,68.4865833333333,2
43,68.7147651515152,2
44,68.9970227272727,2
45,69.0911287878788,2
46,69.32325,2
47,68.7111287878788,2
48,67.7917803030303,2
49,67.1706742424242,3
50,66.8196515151515,3
51,66.5765151515151,3
52,66.3513257575758,3
53,66.1584242424243,3
54,66.1202121212121,3
55,66.2263939393939,3
56,66.7778939393939,3
57,67.9807575757576,3
58,68.2919242424242,3
59,68.4000075757576,3
60,68.3869318181818,3
61,68.2640606060606,3
62,68.3049772727273,3
63,68.5909090909091,3
64,68.7173333333333,3
65,68.6753863636364,3
66,68.6974393939394,3
67,68.5501818181818,3
68,68.8263181818182,3
69,68.7581590909091,3
70,68.5640757575758,3
71,68.257303030303,3
72,67.4935378787879,3
73,66.9938409090909,4
74,66.6652196969697,4
75,66.437,4
76,66.2160075757576,4
77,66.252946969697,4
78,66.4332196969697,4
79,66.8468712121212,4
80,67.7800984848485,4
81,68.2263939393939,4
82,68.3793333333333,4
83,68.4573106060606,4
84,68.6368712121212,4
85,68.6519924242424,4
86,68.6344015151515,4
87,68.7090909090909,4
88,69.1358181818182,4
89,69.0611590909091,4
90,69.2804696969697,4
91,69.3788560606061,4
92,69.2935833333333,4
93,69.1212878787879,4
94,68.9398939393939,4
95,68.5915681818182,4
96,68.0271060606061,4
97,67.6806439393939,5
98,67.5781363636364,5
99,67.3847121212121,5
100,67.280803030303,5
101,67.2395,5
102,67.3998636363636,5
103,68.1652272727273,5
104,68.9981590909091,5
105,69.3762424242424,5
106,69.4971666666667,5
107,69.3438106060606,5
108,69.3770606060606,5
109,69.4662878787879,5
110,69.7088939393939,5
111,69.445303030303,5
112,69.6162803030303,5
113,69.4298939393939,5
114,69.6394924242424,5
115,69.669553030303,5
116,69.4330606060606,5
117,69.629696969697,5
118,69.73525,5
119,69.3282575757576,5
120,68.56625,5
121,68.0209924242424,6
122,67.6782045454545,6
123,67.3453106060606,6
124,67.1354924242424,6
125,66.953446969697,6
126,66.8050454545454,6
127,67.4272803030303,6
128,68.4473257575758,6
129,69.3296742424243,6
130,69.4553106060606,6
131,69.1803787878788,6
132,68.9621742424242,6
133,69.0495227272727,6
134,69.2205075757576,6
135,69.1362424242424,6
136,69.0291212121212,6
137,69.0958106060606,6
138,69.3822424242424,6
139,70.0529015151515,6
140,70.4246212121212,6
141,70.3432727272727,6
142,70.134303030303,6
143,69.6649621212121,6
144,68.9389166666667,6
145,68.4283712121212,7
146,68.1640909090909,7
147,67.8521439393939,7
148,67.5898636363637,7
149,67.3937651515152,7
150,67.3050454545455,7
151,67.5415606060606,7
152,68.7515227272727,7
153,69.4055984848485,7
154,69.5304393939394,7
155,69.5407727272727,7
156,69.6492348484849,7
157,69.5106666666667,7
158,69.6374166666667,7
159,69.6205909090909,7
160,69.5957348484849,7
161,69.405,7
162,69.5294545454546,7
163,69.6550606060606,7
164,69.6712121212121,7
165,69.5438106060606,7
166,69.5385227272727,7
167,69.2694545454545,7
168,68.7118484848485,7
169,68.1987651515152,8
170,67.9551363636364,8
171,67.6455757575758,8
172,67.411196969697,8
173,67.3118560606061,8
174,67.2224924242424,8
175,67.5198106060606,8
176,68.9212575757576,8
177,69.3731515151515,8
178,69.2948636363636,8
179,68.9992424242424,8
180,68.9075151515152,8
181,69.1015,8
182,69.3900681818182,8
183,69.3113712121212,8
184,69.1997272727273,8
185,68.9069090909091,8
186,69.1142727272727,8
187,69.5431515151515,8
188,69.9392045454546,8
189,70.0809166666667,8
190,69.9363257575758,8
191,69.5815909090909,8
192,68.8281136363636,8
193,68.2786060606061,9
194,67.9166893939394,9
195,67.546303030303,9
196,67.2360454545454,9
197,67.0334772727273,9
198,66.9198939393939,9
199,67.0549696969697,9
200,67.9773712121212,9
201,68.9987272727273,9
202,69.165696969697,9
203,69.1199015151515,9
204,69.0679090909091,9
