zipcode,cooling_zone,heating_zone,state,city,latitude,longitude,elevation_ft,hdd,cdd
59001,2,2,MT,RAPELJE,45.9636,-109.2531,"4,044","7,159",422
59061,1,3,MT,MYSTIC LAKE,45.2436,-109.7311,"6,544","8,157",122
59061,1,3,MT,MYSTIC LAKE,45.2436,-109.7311,"6,544","8,157",122
59820,2,2,MT,SAINT IGNATIUS,47.315,-114.0983,"2,915","6,799",310
59710,1,3,MT,ALDER 17 S,45.0708,-112.0575,"5,850","8,357",109
59311,2,3,MT,ALBION 1 N,45.2089,-104.2647,"3,312","7,825",577
59711,1,3,MT,ANACONDA,46.1314,-112.9569,"5,280","8,136",139
59711,1,3,MT,ANACONDA,46.1314,-112.9569,"5,280","8,136",139
59711,1,3,MT,ANACONDA,46.1314,-112.9569,"5,280","8,136",139
59711,1,3,MT,ANACONDA,46.1314,-112.9569,"5,280","8,136",139
59312,2,3,MT,COHAGEN,47.0567,-106.6167,"2,727","7,824",478
59211,2,3,MT,PLENTYWOOD,48.775,-104.5678,"2,048","8,852",446
59821,2,2,MT,MISSOULA INTL AP,46.9208,-114.0925,"3,192","7,283",331
59863,1,3,MT,SEELEY LAKE RS,47.2142,-113.5203,"4,100","8,456",120
59003,2,3,MT,LAME DEER,45.6258,-106.6642,"3,300","7,999",357
59004,3,2,MT,BIRNEY,45.3247,-106.5125,"3,160","6,930",649
59004,3,2,MT,BIRNEY,45.3247,-106.5125,"3,160","6,930",649
59410,1,3,MT,AUGUSTA,47.4931,-112.3964,"4,070","7,552",200
59713,1,3,MT,AUSTIN 1 W,46.6456,-112.2656,"4,851","9,043",102
59411,1,3,MT,ST MARY,48.7383,-113.4294,"4,560","8,663",95
59212,2,3,MT,CULBERTSON,48.1503,-104.5089,"1,942","8,394",535
59313,2,3,MT,BAKER MUNI AP,46.3583,-104.25,"2,971","8,371",470
59354,2,3,MT,EKALAKA,45.8903,-104.5461,"3,425","7,926",494
59354,2,3,MT,EKALAKA,45.8903,-104.5461,"3,425","7,926",494
59006,2,3,MT,POMPEYS PILLAR 18 N,46.2167,-108.0261,"3,466","7,504",536
59631,1,3,MT,BUTTE BERT MOONEY AP,45.9647,-112.5006,"5,506","9,220",80
59007,1,2,MT,NYE 2,45.435,-109.8081,"4,840","7,062",208
59007,1,2,MT,NYE 2,45.435,-109.8081,"4,840","7,062",208
59008,2,2,MT,JOLIET,45.4731,-109.0097,"3,848","7,371",399
59714,2,3,MT,BOZEMAN GALLATIN FLD,45.7881,-111.1608,"4,427","7,559",368
59412,2,3,MT,GREAT FALLS WFO,47.4597,-111.3847,"3,705","7,519",315
59412,2,3,MT,GREAT FALLS WFO,47.4597,-111.3847,"3,705","7,519",315
59412,2,3,MT,GREAT FALLS WFO,47.4597,-111.3847,"3,705","7,519",315
59314,3,2,MT,BIDDLE 8 SW,45.0403,-105.4855,"3,597","7,036",635
59910,1,2,MT,POLSON,47.675,-114.1906,"3,010","7,173",275
59911,1,3,MT,CRESTON,48.1889,-114.1342,"2,940","8,038",144
59911,1,3,MT,CRESTON,48.1889,-114.1342,"2,940","8,038",144
59010,2,3,MT,HYSHAM 25 SSE,45.9353,-107.1375,"3,100","7,763",487
59520,2,3,MT,BIG SANDY,48.135,-110.0608,"2,770","7,638",465
59011,2,2,MT,BIG TIMBER,45.8328,-109.9503,"4,100","6,995",408
59101,3,2,MT,BILLINGS WTP,45.7717,-108.4811,"3,097","6,339",651
59101,3,2,MT,BILLINGS WTP,45.7717,-108.4811,"3,097","6,339",651
59102,2,2,MT,BILLINGS WFO,45.7508,-108.5706,"3,185","6,857",537
59102,2,2,MT,BILLINGS WFO,45.7508,-108.5706,"3,185","6,857",537
59103,3,2,MT,BILLINGS LOGAN INTL AP,45.8069,-108.5422,"3,581","6,781",637
59104,2,2,MT,BILLINGS WFO,45.7508,-108.5706,"3,185","6,857",537
