hour_of_year,temperature_in,day_of_year
1,68.3709853819444,1
2,68.0667119930555,1
3,67.7149636145833,1
4,67.5028889895834,1
5,67.3126766979167,1
6,67.3710568715278,1
7,67.6698058020834,1
8,68.0034663072917,1
9,68.2690188177083,1
10,68.4704728385417,1
11,68.5290569913194,1
12,68.8282571875,1
13,69.110980203125,1
14,69.2901564149306,1
15,69.5146372864583,1
16,69.4680293211806,1
17,69.3785347829861,1
18,69.3618189704861,1
19,69.3774714253472,1
20,69.4629936892361,1
21,69.5262610243055,1
22,69.3864185885417,1
23,69.0355482847222,1
24,68.8061012083333,1
25,68.5036306201389,2
26,68.0653360225694,2
27,67.71923071875,2
28,67.3733294583333,2
29,67.145941704594,2
30,66.9683224968434,2
31,67.1604759392361,2
32,67.5790041684028,2
33,68.0929974548611,2
34,68.3642405555556,2
35,68.5591483003472,2
36,68.7242428680555,2
37,68.9970676024306,2
38,69.1574440173611,2
39,69.2347228315972,2
40,69.3514681961806,2
41,69.2922809027778,2
42,69.2284249236111,2
43,69.43010009375,2
44,69.7107663645833,2
45,70.0083966579861,2
46,70.1275193645833,2
47,69.8099670347222,2
48,69.3485625138889,2
49,68.8156866597222,3
50,68.2037711822917,3
51,67.7097079427083,3
52,67.3642096371528,3
53,67.1796429513889,3
54,67.1002622864583,3
55,67.3198481944445,3
56,67.7717195694444,3
57,68.2486235642361,3
58,68.5425820572917,3
59,68.5698983125,3
60,68.5689948715278,3
61,68.7529953975694,3
62,68.9639674791667,3
63,68.9577210868056,3
64,68.9629105486111,3
65,68.9226735868055,3
66,69.0516634253472,3
67,69.2851206024305,3
68,69.5843777638889,3
69,69.6385397881945,3
70,69.5384788350695,3
71,69.3635454131944,3
72,69.0681622743056,3
73,68.6702899791667,4
74,68.0716378628472,4
75,67.6565393472222,4
76,67.3389177725695,4
77,67.0931459618056,4
78,66.9943525763889,4
79,67.3512205590278,4
80,68.0474702690972,4
81,68.4395444895834,4
82,68.5164098402778,4
83,68.548818875,4
84,68.6530415520833,4
85,68.9411203090278,4
86,68.9168179392361,4
87,68.8346029479167,4
88,68.721927296875,4
89,68.7774932152778,4
90,69.1753126805556,4
91,69.6210778541667,4
92,69.943358390625,4
93,69.90210671875,4
94,69.6683772309028,4
95,69.4439686875,4
96,69.0225523940972,4
97,68.5456303125,5
98,68.1639335260417,5
99,67.7555769149306,5
100,67.4506273923611,5
101,67.2399154305555,5
102,67.2715833020833,5
103,67.5875662361111,5
104,67.970538859375,5
105,68.5598645902778,5
106,68.8767622552083,5
107,68.9641472829861,5
108,69.0216023663194,5
109,69.2039259809028,5
110,69.3280738767361,5
111,69.3238767777778,5
112,69.40203578125,5
113,69.4086696458333,5
114,69.4122375243056,5
115,69.7051528229166,5
116,69.9707549739583,5
117,70.1614315138889,5
118,70.0995452934028,5
119,69.8203115885417,5
120,69.3932630138889,5
121,68.9070426579861,6
122,68.4928286631945,6
123,68.1106699444445,6
124,67.8128306753472,6
125,67.5629310989583,6
126,67.4475170659722,6
127,67.7264651111111,6
128,67.9566651684028,6
129,68.1819260555556,6
130,68.3167476805556,6
131,68.4377012916667,6
132,68.5968947358156,6
133,68.9985950070922,6
134,69.1894481719858,6
135,69.292332177305,6
136,69.3949481684028,6
137,69.4293232986111,6
138,69.4267323993055,6
139,69.4816170572917,6
140,69.6399460225694,6
141,69.5987141614584,6
142,69.5964342465278,6
143,69.5787518003472,6
144,69.2372483559028,6
145,68.8834541649305,7
146,68.4916918090278,7
147,68.3034241388889,7
148,68.1135314861111,7
149,67.893807078125,7
150,67.7106968263889,7
151,67.930599234375,7
152,68.2811624288195,7
153,68.5053851805556,7
154,68.7495522065972,7
155,69.0879516666667,7
156,69.2024858975694,7
157,69.3534746041667,7
158,69.4216518559028,7
159,69.4231534322917,7
160,69.3436044357639,7
161,69.2935450295139,7
162,69.3662597222222,7
163,69.4516875625,7
164,69.5535428871528,7
165,69.6602540868056,7
166,69.5722927118056,7
167,69.4046952118056,7
168,69.1331966111111,7
169,68.760265703125,8
170,68.4241908541667,8
171,68.1223267777778,8
172,67.7897555989583,8
173,67.5298697083333,8
174,67.4944984930556,8
175,67.7246052361111,8
176,68.0926675347222,8
177,68.3756057013889,8
178,68.4494860642361,8
179,68.6115076180556,8
180,68.8033447152778,8
181,69.0679455798611,8
182,69.2932200815972,8
183,69.3076168854167,8
184,69.2194367291666,8
185,69.3003881944444,8
186,69.5119007847222,8
187,69.7313470607639,8
188,69.87352275,8
189,69.9858998506944,8
190,69.9279046996528,8
191,69.7090484913195,8
192,69.4019295208333,8
193,69.0448994947917,9
194,68.5965790711805,9
195,68.2348412413195,9
196,68.0011734774306,9
197,67.7177108923611,9
198,67.5378458420139,9
199,67.7112356053686,9
200,68.2625421458142,9
201,68.5313440850695,9
202,68.548220140625,9
203,68.5344136319444,9
204,68.5715605625,9
205,68.7299843576389,9
206,68.9063957765957,9
207,69.0460761046099,9
208,69.0850251312056,9
209,69.2360255602837,9
210,69.2594325017731,9
211,69.5410461223404,9
212,69.8938966099291,9
213,69.830583212766,9
214,69.7313687748227,9
215,69.4866173510638,9
216,69.2030831117021,9
217,68.8531284698582,10
218,68.5298558634752,10
219,68.1453047943263,10
220,67.877242714539,10
221,67.5507650035461,10
222,67.2997701489362,10
223,67.4218558138298,10
224,67.8245322074468,10
225,68.1739679024823,10
226,68.231470856383,10
227,68.428283712766,10
228,68.4422503280142,10
229,68.5953114007092,10
230,68.7096776187943,10
231,68.799674141844,10
232,68.806486427305,10
233,68.9464012960993,10
234,68.9457979060284,10
235,69.1834681560284,10
236,69.4906235531915,10
237,69.4090901737589,10
238,69.2940321400709,10
239,69.2173648049645,10
240,68.9477532730496,10
241,68.5575416950355,11
242,68.07576725,11
243,67.6936098599291,11
244,67.3800459716312,11
245,67.1731205478724,11
246,66.9602480691489,11
247,67.1949436560284,11
248,67.7838238989362,11
249,68.1663986294327,11
250,68.2916336968085,11
251,68.4027132783688,11
252,68.6244708280142,11
253,68.8006875283688,11
254,69.0115873776596,11
255,69.0795468617021,11
256,69.0664112960993,11
257,69.262328429078,11
258,69.3772301914894,11
259,69.4848056666667,11
260,69.679670951087,11
261,69.6975823605072,11
262,69.6355323931159,11
263,69.5532962536232,11
264,69.193468134058,11
265,68.815921125,12
266,68.3711918967392,12
267,67.981854009058,12
268,67.6629291141304,12
269,67.3868191865942,12
270,67.2243544148551,12
271,67.3908202916667,12
272,67.8693144782609,12
273,68.2552063599291,12
274,68.3408877535461,12
275,68.4316360230496,12
276,68.5916835673759,12
277,68.7414274804965,12
278,68.9421025070922,12
279,68.9428988297872,12
280,68.8941573049646,12
281,68.9047176471631,12
282,69.2015514822695,12
283,69.538815180851,12
284,69.5949953226951,12
285,69.5497019343971,12
286,69.678211606383,12
287,69.727974358156,12
288,69.5841080939716,12
289,69.3927242606383,13
290,68.8924475496454,13
291,68.4963997978723,13
292,68.1571835141844,13
