hour_of_year,temperature_in,day_of_year
1,67.6103333333333,1
2,68.1202361111111,1
3,68.0773611111111,1
4,67.5444861111111,1
5,67.4000972222222,1
6,67.4639166666667,1
7,67.5957222222222,1
8,67.8547361111111,1
9,68.1172638888889,1
10,68.4673055555556,1
11,68.7382916666667,1
12,69.2254166666667,1
13,69.7529027777778,1
14,69.5744444444444,1
15,69.9037083333333,1
16,69.9483194444444,1
17,70.0699027777778,1
18,70.1359722222222,1
19,70.1290555555556,1
20,70.3921805555556,1
21,70.5835555555556,1
22,70.3743055555556,1
23,69.4954027777778,1
24,68.8867916666667,1
25,68.1650416666667,2
26,67.7479722222222,2
27,67.5737083333333,2
28,67.2687083333333,2
29,67.2446388888889,2
30,67.3763055555556,2
31,67.5480833333333,2
32,68.2190833333333,2
33,68.8049722222222,2
34,68.9283055555556,2
35,68.8551111111111,2
36,68.8585555555556,2
37,68.9663194444444,2
38,68.9556666666667,2
39,69.0884861111111,2
40,69.7808333333334,2
41,69.9346388888889,2
42,69.8988194444444,2
43,70.2149583333333,2
44,70.0844166666667,2
45,70.0545833333333,2
46,70.0620694444445,2
47,69.5990972222222,2
48,69.1983611111111,2
49,68.7723194444444,3
50,68.3747777777778,3
51,67.6055416666667,3
52,67.4247222222222,3
53,67.2962222222222,3
54,67.340125,3
55,67.4454305555556,3
56,67.6788611111111,3
57,68.0973055555556,3
58,68.6523333333333,3
59,68.9289166666667,3
60,68.85675,3
61,68.8615,3
62,69.3554444444444,3
63,69.3547777777778,3
64,69.1664722222222,3
65,69.20175,3
66,69.3324027777778,3
67,69.7287222222222,3
68,70.0028333333333,3
69,70.1572361111111,3
70,69.9319166666667,3
71,69.5302083333334,3
72,69.2468888888889,3
73,68.7519305555555,4
74,68.3372638888889,4
75,67.6323333333333,4
76,67.4010833333333,4
77,67.3482638888889,4
78,67.3477638888889,4
79,67.4856944444444,4
80,68.04175,4
81,68.6960416666667,4
82,68.9485416666667,4
83,69.0485138888889,4
84,69.1842777777778,4
85,69.913875,4
86,70.0072083333333,4
87,70.0837638888889,4
88,70.0620555555556,4
89,70.1217361111111,4
90,70.2747083333333,4
91,70.5091111111111,4
92,70.623375,4
93,70.4597083333333,4
94,69.9463194444444,4
95,69.9729027777778,4
96,69.6714305555556,4
97,69.1654305555556,5
98,68.7892777777778,5
99,68.1429444444445,5
100,67.8267222222222,5
101,67.6114305555555,5
102,67.6157916666667,5
103,67.6066666666667,5
104,68.0372083333333,5
105,68.778,5
106,68.7499583333333,5
107,68.9688333333333,5
108,69.0235833333333,5
109,69.385,5
110,69.54725,5
111,69.6654444444444,5
112,69.7203611111111,5
113,70.2053055555556,5
114,70.1994722222222,5
115,70.2571666666667,5
116,70.3131944444445,5
117,70.258,5
118,70.0319722222222,5
119,69.4630555555556,5
120,69.1385416666667,5
121,68.7092083333333,6
122,68.4708055555556,6
123,67.9298611111111,6
124,67.3905277777778,6
125,67.3722083333333,6
126,67.3778888888889,6
127,67.7140833333333,6
128,68.1555694444444,6
129,68.4741388888889,6
130,68.9167777777778,6
131,69.1585,6
132,69.4530694444444,6
133,69.75225,6
134,70.1186388888889,6
135,70.2590833333334,6
136,70.2668611111111,6
137,70.5309444444444,6
138,70.4625277777778,6
139,70.6060416666667,6
140,70.6035416666667,6
141,70.4479305555555,6
142,70.2838888888889,6
143,69.882625,6
144,69.4189305555556,6
145,69.1873611111111,7
146,68.8285416666667,7
147,68.3181805555556,7
148,67.9119861111111,7
149,67.8468194444445,7
150,67.8987638888889,7
151,67.8610277777778,7
152,68.1272777777778,7
153,68.571875,7
154,68.8833611111111,7
155,69.0990277777778,7
156,69.4195833333333,7
157,69.999,7
158,70.034125,7
159,70.0579444444445,7
160,69.7820833333333,7
161,69.7168611111111,7
162,69.6320694444444,7
163,69.7619861111111,7
164,69.9160972222222,7
165,70.0909305555556,7
166,70.1193055555556,7
167,69.7515277777778,7
168,69.4760694444445,7
169,68.9864861111111,8
170,68.5909166666667,8
171,68.3683888888889,8
172,68.2168194444445,8
173,67.9444861111111,8
174,68.0299444444444,8
175,68.19025,8
176,68.5474027777778,8
177,69.0695138888889,8
178,69.51075,8
179,69.6482777777778,8
180,69.75525,8
181,69.5236805555556,8
182,69.3578055555556,8
183,69.4361527777778,8
184,69.3213333333333,8
185,69.5050138888889,8
186,69.4493611111111,8
187,69.6844861111111,8
188,70.1615416666667,8
189,70.2624305555556,8
190,70.1177222222222,8
191,69.68475,8
192,69.5135833333333,8
193,69.1408055555556,9
194,68.6015555555556,9
195,68.0083472222222,9
196,67.7838611111111,9
197,67.654875,9
198,67.6482916666667,9
199,67.7822222222222,9
200,68.5805,9
201,69.0600138888889,9
202,69.2863194444444,9
203,69.3001805555555,9
204,69.2955972222222,9
205,69.4017638888889,9
206,69.218125,9
207,69.1361944444445,9
208,69.3336805555555,9
209,69.8347222222222,9
210,69.6888888888889,9
211,70.1205972222222,9
