hour_of_year,temperature_in,day_of_year
1,69.5546864833334,1
2,68.88173705,1
3,68.3204559916667,1
4,68.748082625,1
5,68.8657033166667,1
6,69.3032072916667,1
7,69.3512535166667,1
8,69.1576274916667,1
9,69.1991969416667,1
10,69.162132575,1
11,68.8493992916667,1
12,68.7860101166667,1
13,69.376268175,1
14,69.7039280583333,1
15,69.556966275,1
16,69.1777114583333,1
17,69.004568725,1
18,69.3389349,1
19,69.2117557166667,1
20,69.466490525,1
21,69.8044069166667,1
22,69.5486829583333,1
23,69.2704685416667,1
24,69.7304245416667,1
25,69.9868543083333,2
26,69.5771145666667,2
27,69.1651480583333,2
28,68.9297273,2
29,68.4355486410256,2
30,68.0127512166667,2
31,67.635348175,2
32,67.3810661083333,2
33,68.0034179416667,2
34,68.4870448833333,2
35,68.818921925,2
36,68.936670925,2
37,69.307856275,2
38,69.9077000166667,2
39,70.1787406666667,2
40,70.2400607666667,2
41,70.024091225,2
42,69.711132075,2
43,69.6143243166667,2
44,70.0154998166667,2
45,70.6392166916667,2
46,71.3484786666667,2
47,71.1720786916667,2
48,71.00503545,2
49,70.4693504166667,3
50,69.6930229,3
51,69.294443375,3
52,68.700077675,3
53,68.3537353083333,3
54,68.2944827333333,3
55,68.303077825,3
56,68.2990868333333,3
57,68.7104857083333,3
58,69.12587195,3
59,68.9166543166667,3
60,68.817490725,3
61,69.2983426333333,3
62,69.3493518,3
63,69.1595255083333,3
64,68.8897734083333,3
65,68.5099356333333,3
66,68.4723848666667,3
67,69.0488863666667,3
68,70.0514376666667,3
69,70.0881128583333,3
70,70.3109542,3
71,70.1950753583333,3
72,70.2755385333333,3
73,70.1540568583333,4
74,69.7656645333333,4
75,69.4461865333333,4
76,68.9351705833333,4
77,68.5964201833333,4
78,68.35283775,4
79,68.3273268583334,4
80,68.5165341,4
81,68.6958757333333,4
82,68.7795153416667,4
83,68.3563038333333,4
84,68.29489055,4
85,68.1901011916667,4
86,67.9553799166667,4
87,67.9841272333333,4
88,68.1579215916667,4
89,68.5157575333333,4
90,69.2064727916667,4
91,70.092945675,4
92,70.8004155083333,4
93,70.705126975,4
94,70.1307458,4
95,69.8439584916667,4
96,69.10629255,4
97,68.551481575,5
98,68.1430665583333,5
99,67.7240834666667,5
100,67.1705888333333,5
101,66.69543445,5
102,66.714136075,5
103,67.0465809083333,5
104,67.218645875,5
105,68.1523742,5
106,68.7815964666667,5
107,68.5423927083333,5
108,68.4835505083333,5
109,68.7121898083333,5
110,68.7250337583333,5
111,68.827496475,5
112,68.7674898166667,5
113,68.5595143,5
114,68.3574814166667,5
115,68.611532875,5
116,69.2559897916667,5
117,70.0564994833333,5
118,70.4875820416667,5
119,70.3487819,5
120,70.124972,5
121,69.5603476833333,6
122,69.243525675,6
123,69.0152038166667,6
124,68.7377026833333,6
125,68.2438819833333,6
126,68.1498516916667,6
127,68.3923937083333,6
128,68.0436969916667,6
129,67.8038728416667,6
130,67.4528966,6
131,67.3462101666667,6
132,67.4125776833333,6
133,68.0166755416667,6
134,68.5879898083333,6
135,68.8383902,6
