hour_of_year,temperature_in,day_of_year
1,68.6756930952381,1
2,68.6311973809524,1
3,68.6648700416667,1
4,68.4272873154762,1
5,68.1386313392857,1
6,68.0229490535714,1
7,67.8430367738095,1
8,67.9201940178571,1
9,68.1978753392857,1
10,68.1328921190476,1
11,68.3401043809524,1
12,68.6658951309524,1
13,68.78312475,1
14,68.9084765297619,1
15,69.1458370119048,1
16,69.2008826845238,1
17,69.2638498392857,1
18,69.7098734285714,1
19,69.8448398809524,1
20,69.7434268392857,1
21,69.7586788511905,1
22,69.5082715119048,1
23,69.1754179285714,1
24,68.6471018452381,1
25,68.4422201428572,2
26,68.2645183035714,2
27,68.1604282738095,2
28,67.9845750535714,2
29,67.8964572948718,2
30,67.8740513392857,2
31,67.7387324464286,2
32,67.899942827381,2
33,67.8995356726191,2
34,68.4152850059524,2
35,68.7440859642857,2
36,69.4051352678572,2
37,69.4796167678572,2
38,69.5385700238095,2
39,69.4205303214286,2
40,69.7260143630952,2
41,69.7354901904762,2
42,69.8582752797619,2
43,69.9538113154762,2
44,70.1425149107143,2
45,70.0926106488095,2
46,70.0210296785714,2
47,69.6257554166667,2
48,69.2923450119048,2
49,68.8817139642857,3
50,68.6354305595238,3
51,68.3937566190476,3
52,68.2524698214286,3
53,68.2621554642857,3
54,68.4317877380953,3
55,68.2649009940476,3
56,68.4735301547619,3
57,68.7634112202381,3
58,68.9071245595238,3
59,69.1836670595238,3
60,69.3343086309524,3
61,69.6691272380952,3
62,69.7935173511905,3
63,69.6780742261905,3
64,69.6751740476191,3
65,69.5394643690476,3
66,69.7585477738095,3
67,69.6029224047619,3
68,69.6438405952381,3
69,69.8363227857143,3
70,69.6547847440476,3
71,69.467570452381,3
72,69.1976082202381,3
73,69.1307970178571,4
74,68.9420570714286,4
75,68.7559761309524,4
76,68.6255861488095,4
77,68.3347717559524,4
78,68.2081663154762,4
79,68.1972124464286,4
80,68.3782001607143,4
81,68.6415966666667,4
82,69.0281793214286,4
83,69.1192590595238,4
84,69.3900835714286,4
85,69.5553992857143,4
86,69.7840784702381,4
87,69.8960838869048,4
88,69.7792098630952,4
89,69.8573787559524,4
90,69.7110602083333,4
91,69.8511895297619,4
92,69.8149939107143,4
93,70.1249234285714,4
94,69.9105942916667,4
95,70.0212837619048,4
96,69.7141679047619,4
97,69.4137911547619,5
98,69.3393330238095,5
99,69.0642416904762,5
100,68.9447218809524,5
101,68.5703605119048,5
102,68.5094636071429,5
103,68.4107414642857,5
104,68.6151004761905,5
105,68.9673053452381,5
106,68.9276159523809,5
107,69.1182461071429,5
108,69.2761234285714,5
109,69.4596059464286,5
110,69.6292819702381,5
111,69.7834933809524,5
112,70.0007599761905,5
113,70.1182983154762,5
114,70.198475625,5
115,70.3216167202381,5
116,70.4484992083333,5
117,70.3896273154762,5
118,70.2907435654762,5
119,70.0934928273809,5
120,69.9022393511905,5
121,69.5486690535714,6
122,69.2539457083333,6
123,69.1149320654762,6
124,68.8495362619048,6
125,68.7785131428571,6
126,68.4554586964286,6
127,68.2886781011905,6
128,68.4534517142857,6
129,68.5608731071429,6
130,68.7844599166666,6
131,69.0591848392857,6
132,69.3959272261905,6
133,69.7525890357143,6
134,69.9811356547619,6
135,69.8829622738095,6
136,69.8965189047619,6
137,69.8944027678571,6
138,69.6875675714286,6
139,69.5750450595238,6
140,69.7119909583333,6
141,69.8583699107143,6
142,69.9410418928571,6
143,69.8697692321428,6
144,69.6997434464286,6
145,69.5387254166667,7
146,69.296899625,7
147,69.1686912559524,7
148,68.7342897083333,7
149,68.6465003214286,7
150,68.4868104464286,7
151,68.5360187083333,7
152,68.3812048928571,7
153,68.6189008928571,7
154,68.8381580535714,7
155,69.0332899166666,7
156,69.4428068928571,7
157,69.6433992440476,7
158,70.1000342619048,7
159,70.2002594821429,7
160,70.3190325714286,7
161,70.3138919583333,7
162,70.6148351488095,7
163,70.695669375,7
164,70.7355424940476,7
165,70.675485375,7
166,70.2449450416667,7
167,69.7937836309524,7
168,69.4320799940476,7
169,69.1784169226191,8
170,68.8931617738095,8
171,68.7825510416667,8
172,68.5645942916667,8
173,68.5321492202381,8
174,68.376935202381,8
175,68.4514656547619,8
176,68.4272297380952,8
177,68.692519922619,8
178,68.9287801130952,8
179,69.1468012380953,8
180,69.5333831785714,8
181,69.6892948035714,8
182,69.5793214226191,8
183,69.4938931190476,8
184,69.9316640357143,8
185,70.1425173333333,8
186,70.0772291369048,8
187,70.1012221547619,8
188,70.124032827381,8
189,70.3063062678571,8
190,70.1372911011905,8
191,69.7474125297619,8
192,69.6392805476191,8
193,69.3506668273809,9
194,69.1201327976191,9
195,69.0614250892857,9
196,68.7726246666667,9
197,68.4950636904762,9
198,68.4211877738095,9
199,68.440546625,9
200,68.3312108736264,9
201,68.6847427797619,9
202,69.2080838571429,9
203,69.7459292202381,9
204,70.0175656309524,9
205,70.0585203392857,9
206,70.0725314583333,9
207,70.2226609583334,9
208,70.2513481309524,9
209,70.3280918035714,9
210,70.4187155595238,9
211,70.5242398571429,9
212,70.5287194404762,9
213,70.5646581964286,9
214,70.6423521130952,9
215,70.4876568690476,9
216,70.0407305357143,9
217,69.6496792916667,10
218,69.4735249642857,10
219,69.1633606488095,10
220,69.1335464880953,10
221,68.8205861071429,10
222,68.8144235178571,10
223,68.7581571011905,10
224,68.7069528988095,10
225,68.9860801607143,10
226,69.2392042380952,10
227,69.6407467202381,10
228,70.0003099880953,10
229,70.3825581904762,10
230,70.7451922371795,10
231,70.6990122628205,10
232,70.7443726346154,10
233,70.5762142884615,10
234,70.4436474615385,10
235,70.5842066858974,10
236,70.4836303717949,10
237,70.5411228205128,10
238,70.5089976474359,10
239,70.122679,10
240,69.7778081858974,10
241,69.7536355897436,11
242,69.4250825448718,11
243,69.113671525641,11
244,68.9806904294872,11
245,68.8311804358974,11
246,68.6271545448718,11
247,68.8001397307692,11
248,68.9880954423077,11
249,69.0739481923077,11
250,69.5843513333333,11
251,69.6251425448718,11
252,69.7197437884615,11
253,69.8455507692308,11
254,69.9731095,11
255,69.9407039038462,11
256,69.9001220769231,11
257,69.9360586153846,11
258,70.0469099871795,11
259,70.5723866858974,11
260,70.5250721410256,11
261,70.3094714423077,11
262,70.4037546217949,11
263,70.2297744358974,11
264,69.8061554807692,11
265,69.8511599935897,12
266,69.5339198269231,12
267,69.1146684487179,12
268,68.9983951730769,12
269,68.7225424423077,12
270,68.7054875512821,12
271,68.6014164294872,12
272,68.6464258012821,12
273,68.8777133333333,12
274,69.3178488333333,12
275,69.6434622435897,12
276,69.9109666794872,12
277,70.1360585128205,12
278,70.2053881025641,12
279,70.1041482179487,12
280,70.3407497371795,12
281,70.4458767628205,12
282,70.2116520384615,12
283,70.089957948718,12
284,70.1986262564103,12
285,70.3434382371795,12
286,70.4876576153846,12
287,70.1576179038462,12
288,69.8575623910256,12
289,69.8178411217949,13
290,69.5598762307692,13
291,69.2666845128205,13
292,68.9599348461539,13
293,69.0168110320513,13
294,68.8771025064103,13
295,68.7516049615385,13
296,68.9155360448718,13
297,69.5624271410257,13
298,70.075632224359,13
299,70.4677800705128,13
300,70.8330634166667,13
301,70.8702580641026,13
302,70.8695704935897,13
303,70.893216724359,13
304,70.9737825320513,13
305,71.2727266153846,13
306,71.0996725961539,13
307,70.8103806987179,13
308,70.7000395320513,13
309,70.5480095961538,13
310,70.2970248269231,13
311,70.0618300320513,13
312,69.4387429102564,13
313,69.2921167564103,14
314,68.9973867628205,14
315,68.9497009166667,14
316,68.6665047051282,14
317,68.6350991410256,14
318,68.3827073397436,14
319,68.4539258269231,14
320,68.5248031217949,14
321,68.3811828589743,14
322,68.8220763846154,14
323,69.3824009935897,14
324,69.8636121410256,14
325,69.9196259423077,14
326,70.1181657179487,14
327,70.3181075128205,14
328,70.293570025641,14
329,70.114714025641,14
330,70.3648171089744,14
331,70.5995159166667,14
332,70.5710655897436,14
333,70.4456896858974,14
334,70.2012353205128,14
335,70.0692602179487,14
336,69.7499609230769,14
337,69.3832545576923,15
338,69.3339778782051,15
339,69.1368908333334,15
340,68.883739025641,15
341,68.7650618205128,15
342,68.4055623782051,15
343,68.59567825,15
344,68.8912874102564,15
345,69.0949430769231,15
346,69.2960097179487,15
347,70.0272351923077,15
348,70.1703556410257,15
349,70.1524152628205,15
350,70.3546268653846,15
351,70.4135814615385,15
352,70.4093488525641,15
353,70.2998839038462,15
354,70.1311955192308,15
355,70.1648140192308,15
356,70.1056472115385,15
357,70.1845359294872,15
358,70.0442170512821,15
359,69.8832509807693,15
360,69.532170948718,15
361,69.5123494935898,16
362,69.1403640281065,16
363,68.7969032352071,16
364,68.8298620512821,16
365,68.4965737948718,16
366,68.2553479807692,16
367,68.3767847884615,16
368,68.6015300064103,16
369,69.4025833782051,16
370,69.5823242692308,16
371,69.8342446089743,16
372,69.9413994358975,16
373,70.1019542628205,16
374,70.3011978525641,16
375,70.383198525641,16
376,70.3522965064103,16
377,70.3775741987179,16
378,70.4388227051282,16
379,70.4154180961538,16
380,70.4531173782051,16
381,70.3438151602564,16
382,70.2507575641026,16
383,70.1757073974359,16
384,69.8890351538462,16
385,69.8435705576923,17
386,69.414937025641,17
387,69.2234486730769,17
388,69.02479025,17
389,68.8038400641026,17
390,69.0010525064102,17
391,68.8958322692308,17
392,68.990681474359,17
393,69.1406815064102,17
394,69.1707757115385,17
395,69.435194775641,17
396,69.7110871410257,17
397,69.9116579358974,17
398,70.0049569038462,17
399,70.2242043589744,17
400,70.2732003141026,17
401,70.2878288589744,17
402,70.174131974359,17
403,70.3539337435897,17
404,70.5627865641026,17
405,70.4031790064103,17
