hour_of_year,temperature_in,day_of_year
1,67.4656781708566,1
2,67.0848190893855,1
3,66.6818809532302,1
4,66.3478933282123,1
5,66.0831450521416,1
6,65.9788896114232,1
7,65.987933108146,1
8,66.1285807420412,1
9,66.4234153005618,1
10,66.7694678351955,1
11,67.2631281540262,1
12,67.6234045613296,1
13,67.8627302827715,1
14,67.9720976203184,1
15,68.2676117195693,1
16,68.3755280697566,1
17,68.427172031367,1
18,68.5153365112359,1
19,68.7350376357678,1
20,68.8485887030727,1
21,68.8430194593279,1
22,68.8088611863296,1
23,68.4614655422519,1
24,67.9595998164794,1
25,67.4374814161986,2
26,66.9085622935393,2
27,66.481747113764,2
28,66.0282352128812,2
29,65.7239707821953,2
30,65.6797373063238,2
31,65.9165428539326,2
32,66.4030799113368,2
33,66.7886152514045,2
34,67.1623008960674,2
35,67.5146585084269,2
36,67.745649576779,2
37,67.7817963464419,2
38,67.9237707654495,2
39,68.0471470182584,2
40,68.1519388520599,2
41,68.3771865922285,2
42,68.6029887270599,2
43,68.7421153370787,2
44,68.9027717378957,2
45,69.0288554706704,2
46,68.9848682648976,2
47,68.7142407565177,2
48,68.2417263640596,2
49,67.5441807202049,3
50,67.0595395032957,3
51,66.5520628940678,3
52,66.1298048361582,3
53,65.8341682189265,3
54,65.8700622268259,3
55,66.1336638253344,3
56,66.47502524581,3
57,66.8815140689013,3
58,67.2658813040037,3
59,67.5429826440241,3
60,67.5687837783985,3
61,67.6512033775605,3
62,67.8748414352887,3
63,67.9106573951311,3
64,68.055588505618,3
65,68.147686678839,3
66,68.442841576779,3
67,68.7036110102421,3
68,68.958153268622,3
69,69.0952806852886,3
70,69.0212043985103,3
71,68.7153300959031,3
72,68.214605311918,3
73,67.6751181964618,4
74,67.1234962715943,4
75,66.6331128128492,4
76,66.2557918091248,4
77,65.9514564706704,4
78,65.9511979016854,4
79,66.232748454588,4
80,66.6589305678839,4
81,67.0802831231273,4
82,67.4073876815642,4
83,67.6895370344506,4
84,67.7454131857542,4
85,67.7690378156425,4
86,67.8152594953445,4
