hour_of_year,temperature_in,day_of_year
1,67.7821047932692,1
2,67.4525580080128,1
3,67.1345739054487,1
4,66.8788190048077,1
5,66.6180148092949,1
6,66.4540556426282,1
7,66.7679659839744,1
8,67.0891190400641,1
9,67.4117406394231,1
10,67.7313582628205,1
11,68.0447757339744,1
12,68.3027509679487,1
13,68.4827309471154,1
14,68.8022200464744,1
15,69.0011611346154,1
16,69.0444713044872,1
17,69.0728048894231,1
18,69.0916248637821,1
19,69.2353374695513,1
20,69.3258165769231,1
21,69.2538237387821,1
22,69.0999716474359,1
23,68.7555209198718,1
24,68.2997203958333,1
25,67.8691107150641,2
26,67.4007425176282,2
27,67.0371892355769,2
28,66.6494075913462,2
29,66.4187095719921,2
30,66.196002166958,2
31,66.5195273717949,2
32,66.8753237339744,2
33,67.2990231346154,2
34,67.571040238782,2
35,67.963784261218,2
36,68.1004228189102,2
37,68.4799242435898,2
38,68.6731075592949,2
39,68.7859024246795,2
40,68.8823314423077,2
41,68.7897608301282,2
42,68.8062110112179,2
43,68.998557886218,2
44,69.238533136218,2
45,69.4262832067308,2
46,69.4811521698718,2
47,69.1041132371795,2
48,68.6057348557692,2
49,68.0607524134615,3
50,67.5489229471154,3
51,67.1717853028846,3
52,66.7690181858974,3
53,66.6013105464744,3
54,66.4336434375,3
55,66.7512768253205,3
56,67.1619976442308,3
57,67.4054511714744,3
58,67.5340241153846,3
59,67.7498493509615,3
60,67.9533666666667,3
61,68.1800030320512,3
62,68.2982033076923,3
63,68.398971136218,3
64,68.5231077403846,3
65,68.43651375,3
66,68.596543724359,3
67,68.8137269871795,3
68,69.0076987195513,3
69,68.9883193076923,3
70,68.8653669214744,3
71,68.6364843445513,3
72,68.2139318509616,3
73,67.7246310977564,4
74,67.1141445833333,4
75,66.6664418429487,4
76,66.3610241538462,4
77,66.1674984919872,4
78,66.1069639647436,4
79,66.4770759519231,4
80,67.1155631490385,4
81,67.4299093926282,4
82,67.6049771554487,4
83,67.9202167996795,4
84,68.1169418157051,4
85,68.2351923990385,4
86,68.2615425016026,4
87,68.2205608333334,4
88,68.1967890705128,4
89,68.220467036859,4
90,68.4321997612179,4
91,68.8137438798077,4
92,69.1989495096154,4
93,69.1825815528846,4
94,69.1452368269231,4
95,68.8809331570513,4
96,68.3141712804487,4
97,67.8238501169872,5
98,67.4307027788462,5
99,67.0730834342949,5
100,66.7908558990385,5
101,66.6268365929487,5
102,66.6475140400641,5
103,67.0175835801282,5
104,67.3231223733974,5
105,67.6580185144231,5
106,67.8120667516026,5
107,67.9849071907051,5
108,68.1811489935897,5
109,68.3114398653846,5
110,68.3695684599359,5
111,68.3088660112179,5
112,68.3199888141026,5
113,68.3099188221154,5
114,68.5005315753205,5
115,69.0017002660256,5
116,69.3900058878205,5
117,69.5459092035257,5
118,69.485339525641,5
119,69.2342530769231,5
120,68.8982321474359,5
121,68.5184696891025,6
122,68.0762022836539,6
123,67.6275416266026,6
124,67.3057096089744,6
125,67.0134987435897,6
126,66.8195707307692,6
127,66.9973138509616,6
128,67.0846950801282,6
129,67.2336188733975,6
130,67.4621479407051,6
131,67.7130020048077,6
132,67.9197001062092,6
133,68.275858195,6
134,68.523826875,6
135,68.6868707983333,6
136,68.7624893937909,6
137,68.7891449278846,6
138,68.8277772564103,6
139,68.9147652403846,6
140,69.1336721041667,6
141,69.0614844711538,6
142,68.9354684519231,6
143,68.7732506089744,6
144,68.4108818605769,6
145,67.9845561907051,7
146,67.5487824407051,7
147,67.332471661859,7
148,67.0642540432692,7
149,66.7935887419872,7
150,66.5594448333333,7
151,66.8154119503205,7
152,67.1114235945513,7
153,67.3152822916667,7
154,67.709220150641,7
155,68.1650840817308,7
156,68.2984458285256,7
157,68.4419408133013,7
158,68.5691057908497,7
159,68.6361144248366,7
160,68.7169170669934,7
161,68.7438922990196,7
162,68.8792124823718,7
163,68.9565120416667,7
164,69.1191358477564,7
165,69.0832539535256,7
