hour_of_year,temperature_in,day_of_year
1,67.7281438333333,1
2,67.225064547619,1
3,66.9775806904762,1
4,66.732728702381,1
5,66.5829989047619,1
6,66.3190924523809,1
7,66.0432199285714,1
8,65.7302390833333,1
9,65.6428938333333,1
10,65.739376702381,1
11,65.9931096547619,1
12,66.3368809404762,1
13,66.8018083928571,1
14,67.4276684761905,1
15,67.6921947261905,1
16,67.8159547261905,1
17,68.1443185952381,1
18,68.3742260595238,1
19,68.3029662261905,1
20,68.4031398214286,1
21,68.5257137142857,1
22,68.6310244166666,1
23,68.7107411190476,1
24,68.4367024761905,1
25,67.7662844285714,2
26,67.277095202381,2
27,66.8978759523809,2
28,66.4308608333333,2
29,66.1042872124542,2
30,65.8313110238095,2
31,65.6359536309524,2
32,65.3843369285714,2
33,65.2117162738095,2
34,65.1011795476191,2
35,65.5726365238095,2
36,65.8655166904762,2
37,66.0306158214286,2
38,66.0406276428571,2
39,66.3975625833333,2
40,67.1065592738095,2
41,67.2833314761905,2
42,67.2775537857143,2
43,67.4148946428571,2
44,67.6334805238095,2
45,67.6700937738095,2
46,67.5358011428572,2
47,67.6996577142857,2
48,67.3472668809524,2
49,67.1039519523809,3
50,66.8156616666667,3
51,66.1547830714286,3
52,65.9815254404762,3
53,65.5962909166667,3
54,65.336618,3
55,65.1331091547619,3
56,64.9702656904762,3
57,64.8311423214286,3
58,64.8553869047619,3
59,65.0241608333333,3
60,65.1033757380952,3
61,65.2590499761905,3
62,65.7025743333333,3
63,65.908398952381,3
64,66.2115190714286,3
65,66.2893953095238,3
66,66.4353091904762,3
67,66.8597871904762,3
68,66.8725281071429,3
69,66.8696719285714,3
70,66.7949248928572,3
71,66.8047467738095,3
72,67.0551941190476,3
73,66.9342839285714,4
74,66.5642302261905,4
75,65.8483992619048,4
76,65.5738771309524,4
77,65.5387906071428,4
78,65.5450725,4
79,65.5382882142857,4
80,65.4033489166667,4
81,65.4178064047619,4
82,65.4226571547619,4
83,65.4654050238095,4
84,65.449435452381,4
85,65.7468189285714,4
86,65.7927569523809,4
87,65.8141463333333,4
88,65.8897750357143,4
89,66.0331104166667,4
90,66.2844203690476,4
91,66.4970552857143,4
92,67.117227,4
93,67.3911436904762,4
94,67.2990093571429,4
95,67.7676974523809,4
96,67.7992841071429,4
97,67.68068125,5
98,67.421112952381,5
99,66.8842316904762,5
100,66.4080301071428,5
101,66.0430013333333,5
102,65.7746748452381,5
103,65.8345775119048,5
104,65.6955033452381,5
105,65.6407295714286,5
106,65.5268084166667,5
107,65.8180056071429,5
108,65.68330875,5
109,65.71830175,5
110,66.079424,5
111,66.2988916190476,5
112,66.5887151071429,5
113,67.0502556904762,5
114,67.42585175,5
115,67.6969891547619,5
116,67.6835768095238,5
117,67.6953364404762,5
118,67.7755461666667,5
119,67.74306825,5
120,67.6677993928571,5
121,67.6295699761905,6
122,67.4611136309524,6
123,66.976345,6
124,66.5638643571429,6
125,66.3024881785714,6
126,66.1239485119048,6
127,66.3046037738095,6
128,66.3244822142857,6
129,66.1422675714286,6
130,66.3574706190476,6
131,66.4866678095238,6
132,66.5286920714286,6
133,66.6577023095238,6
134,67.0540711428571,6
135,67.0519976904762,6
136,67.5440583333333,6
137,67.631069452381,6
138,67.5335183809524,6
139,67.4364835238095,6
140,67.6258160952381,6
141,67.651709452381,6
142,67.7258322380952,6
143,67.6219780595238,6
144,67.4918677023809,6
145,67.5199216428571,7
146,67.4099370833333,7
147,67.2345843571429,7
148,66.9460212142857,7
149,66.8859031904762,7
150,66.6435342857143,7
151,66.4096569880953,7
152,66.2201702023809,7
153,66.0120555714286,7
154,65.9280906904762,7
155,66.1165944404762,7
156,66.288971702381,7
157,66.5978551547619,7
158,66.5691192857143,7
159,66.7138054642857,7
160,66.7345040476191,7
161,67.1593510833333,7
162,67.3657897619048,7
163,67.6900406428571,7
164,67.7880206428572,7
165,67.7900856785714,7
166,67.8010776071429,7
167,67.9607200238095,7
168,67.9468643690476,7
169,67.60708725,8
170,67.3034828214286,8
171,67.0255910595238,8
172,66.7055378809524,8
173,66.2286751071429,8
174,65.9571803690476,8
175,65.6875025,8
176,65.4938500952381,8
177,65.2985321190476,8
178,65.1957498928571,8
179,65.347115,8
180,65.6641048571429,8
181,65.949680952381,8
182,66.1255089880952,8
183,66.3508099047619,8
184,66.5336795833333,8
185,66.892404,8
186,66.9878244166667,8
187,67.2961620476191,8
188,67.4146638809524,8
189,67.3658441428571,8
190,67.3596040714286,8
191,67.4377333571429,8
192,67.619431202381,8
193,67.4829031547619,9
194,67.0743466547619,9
195,66.5516755952381,9
196,66.2808224047619,9
197,65.9678960476191,9
198,65.6752960357143,9
199,65.411232952381,9
200,65.1933694835165,9
201,65.0649248690476,9
202,65.0074533928571,9
203,65.3593796785714,9
204,65.4838597857143,9
205,65.7120989166667,9
206,65.7199258214286,9
207,65.7877551071428,9
208,66.3248525119048,9
209,67.0397636190476,9
210,67.2039309047619,9
211,67.6262942380952,9
212,67.9483674285715,9
213,68.0162422023809,9
214,68.0412556190476,9
215,67.9883547976191,9
216,67.8941781190476,9
217,67.6743044285714,10
218,67.2844038214286,10
219,66.711726,10
220,66.3276072976191,10
221,65.8510778214286,10
222,65.4838870238095,10
223,65.2914351904762,10
224,65.0204804047619,10
225,64.8625429285714,10
226,64.6455315714286,10
227,64.8791413095238,10
228,65.1179967261905,10
229,65.26868825,10
230,65.5267082619048,10
231,65.5730637738095,10
232,66.15033825,10
233,66.7889289285714,10
234,66.9910948928571,10
235,67.0761501785714,10
236,67.3525986190476,10
237,67.4168653690476,10
238,67.5629522380952,10
239,67.7555916428571,10
