hour_of_year,temperature_in,day_of_year
1,69.0972314814815,1
2,68.2903703703704,1
3,67.4806388888889,1
4,67.2697037037037,1
5,66.9933796296296,1
6,67.3451203703704,1
7,67.6264444444445,1
8,67.8447407407407,1
9,67.6498240740741,1
10,67.6180740740741,1
11,67.4452407407407,1
12,67.610462962963,1
13,67.9030185185185,1
14,68.0233796296296,1
15,68.268287037037,1
16,68.3328055555556,1
17,68.0878148148148,1
18,68.4473796296296,1
19,68.4651666666667,1
20,68.6748796296296,1
21,69.1024722222222,1
22,69.0281944444445,1
23,68.7864444444444,1
24,68.8265833333333,1
25,68.7808518518519,2
26,68.2957592592593,2
27,67.4929814814815,2
28,66.8869351851852,2
29,66.3155,2
30,66.1221666666667,2
31,66.266212962963,2
32,66.4595555555556,2
33,66.2108425925926,2
34,66.7600277777778,2
35,67.4868333333333,2
36,68.0716666666667,2
37,68.6642037037037,2
38,69.2257962962963,2
39,69.6007314814815,2
40,69.621212962963,2
41,69.0744444444444,2
42,68.8030833333333,2
43,68.8239722222222,2
44,69.5685925925926,2
45,70.7873518518518,2
46,71.3166203703704,2
47,71.4935555555556,2
48,71.0319351851852,2
49,70.3312592592593,3
50,69.3342685185185,3
51,68.2660925925926,3
52,67.5218611111111,3
53,66.8457685185185,3
54,66.6182037037037,3
55,66.6291203703703,3
56,66.8570092592593,3
57,67.5522685185185,3
58,68.3171851851852,3
59,68.3698333333333,3
60,68.2831111111111,3
61,68.5630740740741,3
62,69.074287037037,3
63,69.244212962963,3
64,69.2667407407407,3
65,69.109537037037,3
66,68.5724259259259,3
67,68.6342962962963,3
68,69.3484814814815,3
69,69.6025092592593,3
70,69.8495462962963,3
71,70.1090462962963,3
72,70.0674351851852,3
73,69.582962962963,4
74,68.8788611111111,4
75,68.4362314814815,4
76,67.7752685185185,4
77,67.2192592592593,4
78,66.8029259259259,4
79,67.0479907407407,4
80,67.3372222222222,4
81,67.1788425925926,4
82,67.087787037037,4
83,67.2048148148148,4
84,67.3679259259259,4
85,68.1505555555556,4
86,68.3528240740741,4
87,68.6005,4
88,68.3186759259259,4
89,68.4863148148148,4
90,69.6612222222222,4
91,70.4319537037037,4
92,70.980037037037,4
93,71.1980925925926,4
94,71.3900740740741,4
95,71.0177777777778,4
96,70.9812407407407,4
97,70.5996111111111,5
98,69.7067037037037,5
99,69.0579814814815,5
100,68.5394074074074,5
101,67.9958796296296,5
102,67.6590185185185,5
103,67.6554814814815,5
104,67.9664074074074,5
105,68.4385925925926,5
106,68.651537037037,5
107,69.0400555555556,5
108,69.5304907407408,5
109,69.9365462962963,5
110,70.15625,5
111,70.3999074074074,5
112,70.8751203703704,5
113,70.9286666666667,5
114,70.6880833333333,5
115,70.4935092592593,5
116,70.6474166666667,5
117,70.8901851851852,5
118,71.2658425925926,5
119,70.9956759259259,5
120,70.46675,5
121,69.9979166666667,6
122,69.7686481481482,6
123,69.5479907407407,6
124,69.1928981481481,6
125,68.6013796296296,6
126,68.351287037037,6
127,68.6497685185185,6
128,68.5713425925926,6
129,68.4186666666667,6
130,68.2417314814815,6
131,68.2207314814815,6
132,68.4461111111111,6
133,69.2055833333333,6
134,69.3539722222222,6
135,69.7008333333333,6
136,69.6929722222222,6
137,69.8392777777778,6
138,69.9165277777778,6
139,69.8147037037037,6
140,69.8588611111111,6
141,70.0572962962963,6
142,70.4067592592592,6
143,70.716287037037,6
144,70.3425740740741,6
145,69.837462962963,7
146,69.2222592592593,7
147,69.0001851851852,7
148,68.6451759259259,7
149,68.0839722222222,7
150,67.9249259259259,7
151,68.1281203703704,7
152,68.3264166666667,7
153,68.5117314814815,7
154,68.7562592592593,7
155,69.0501388888889,7
156,69.35,7
157,69.7431574074074,7
158,70.1425092592593,7
159,70.2967222222222,7
160,70.0665,7
161,69.9587314814815,7
162,70.0000462962963,7
163,70.2134722222222,7
164,70.3406388888889,7
165,70.80925,7
166,70.8286296296296,7
167,70.5206018518519,7
168,70.6426111111111,7
169,70.4738796296296,8
170,69.9441574074074,8
171,69.5473703703704,8
172,69.0313055555556,8
173,68.5542037037037,8
174,68.2818703703704,8
175,68.3264907407408,8
176,68.533962962963,8
177,68.2473333333333,8
178,68.3282407407407,8
179,68.9126203703704,8
180,69.4872685185185,8
181,70.3182685185185,8
182,71.5308148148148,8
183,71.7081481481482,8
184,71.5381388888889,8
